,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
69,69,0.1,720,2.25,1,100000.0,0.01715,0.00243,5.72,737466000000.0,435.73,0.43573000000000006,32133606018.0,0.015530136275833684,0.010588759099797299,0.0028475399708639583
70,70,0.1,730,2.25,1,100000.0,0.01715,0.00243,5.72,739503000000.0,435.6,0.4356,32212750680.0,0.01569996668866338,0.010722585099739104,0.0028363735133783248
71,71,0.1,740,2.25,1,100000.0,0.01715,0.00243,5.72,741504000000.0,439.35,0.43935,32577978240.0,0.016600031477972836,0.010446556503942746,0.0028524728660875224
72,72,0.1,750,2.25,1,100000.0,0.01715,0.00243,5.72,743469000000.0,444.43,0.44443,33041992767.0,0.017231205231582863,0.010908114812405587,0.0028492664200626544
73,73,0.1,760,2.25,1,100000.0,0.01715,0.00243,5.72,745400000000.0,440.11,0.44011000000000006,32805799400.0,0.016979947476422695,0.01078432303114634,0.002831191654145212
74,74,0.1,770,2.25,1,100000.0,0.01715,0.00243,5.72,747297000000.0,448.32,0.44832,33502819104.0,0.01717670429201462,0.010859930805392357,0.0028295632709978325
75,75,0.1,780,2.25,1,100000.0,0.01715,0.00243,5.72,749160000000.0,445.49,0.44549000000000005,33374328840.0,0.0184631564509516,0.010998317601959675,0.0028457488573837486
76,76,0.1,790,2.25,1,100000.0,0.01715,0.00243,5.72,750991000000.0,448.97,0.44897,33717242927.0,0.018282230462858703,0.010578918041671178,0.002829101876682536
77,77,0.1,800,2.25,1,100000.0,0.01715,0.00243,5.72,752791000000.0,452.33,0.45233,34050995303.0,0.019314547425143477,0.010745586067265538,0.0028244192829032905
78,78,0.1,810,2.25,1,100000.0,0.01715,0.00243,5.72,754559000000.0,459.64,0.45964,34682549876.0,0.019151867444327307,0.010694876189732567,0.002855439925189826
79,79,0.1,820,2.25,1,100000.0,0.01715,0.00243,5.72,756297000000.0,458.85,0.4588500000000001,34702687845.0,0.01906265487453993,0.010428252686259567,0.0028446107110943245
80,80,0.1,830,2.25,1,100000.0,0.01715,0.00243,5.72,758004000000.0,467.0,0.467,35398786800.0,0.019780862226107275,0.010736396319720167,0.002849404445783618
81,81,0.1,840,2.25,1,100000.0,0.01715,0.00243,5.72,759683000000.0,462.39,0.46239,35126982237.0,0.020425090423829034,0.010784676110342409,0.002863249174200349
82,82,0.1,850,2.25,1,100000.0,0.01715,0.00243,5.72,761333000000.0,462.75,0.46274999999999994,35230684575.0,0.020420298873636965,0.011062943050914063,0.0028229250312969646
83,83,0.1,860,2.25,1,100000.0,0.01715,0.00243,5.72,762956000000.0,465.83,0.46583,35540779348.0,0.0209886982608009,0.010879480665987932,0.0028798671296111624
84,84,0.1,870,2.25,1,100000.0,0.01715,0.00243,5.72,764550000000.0,472.42,0.47242000000000006,36118871100.0,0.021326108823906224,0.01054047707915066,0.0028317903626045426
85,85,0.1,880,2.25,1,100000.0,0.01715,0.00243,5.72,766118000000.0,471.92,0.47192000000000006,36154640656.0,0.022052724124115457,0.010720164836343974,0.002837880416618339
86,86,0.1,890,2.25,1,100000.0,0.01715,0.00243,5.72,767659000000.0,475.01,0.47501,36464570159.0,0.02227028700447249,0.011058819264898304,0.0028718124385767366
87,87,0.1,900,2.25,1,100000.0,0.01715,0.00243,5.72,769175000000.0,478.89,0.47889,36835021575.0,0.022851428051776566,0.010587930773219114,0.0028647680353399087
88,88,0.1,910,2.25,1,100000.0,0.01715,0.00243,5.72,770665000000.0,480.3,0.4802999999999999,37015039950.0,0.02272303954774884,0.010546441092587306,0.0028436667807004534
