,Simulation Number,Dipole.bendingRadius,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
68,68,13.895833333333334,6801.0,1000,703886000000.0,1000.0,100.0,6801.0,0.0,0.123111161086449,0.0851644492382427,703886000000.0,,,,0.0001343969842235,1.857045787417981e-05
69,69,13.895833333333334,6901.0,1000,676417000000.0,1000.0,100.0,6901.0,0.0,0.1172383104108798,0.0688638308342048,676417000000.0,,,,0.0001278943418165,1.743140165924013e-05
70,70,13.895833333333334,7001.0,1000,649976000000.0,1000.0,100.0,7001.0,0.0,0.1326347813470936,0.069732202637937,649976000000.0,,,,0.0001216297614641,1.636789950040808e-05
71,71,13.895833333333334,7101.0,1000,624529000000.0,1000.0,100.0,7101.0,0.0,0.1186782906047769,0.0664368708117912,624529000000.0,,,,0.0001156168919721,1.5374953578782023e-05
72,72,13.895833333333334,7201.0,1000,600040000000.0,1000.0,100.0,7201.0,0.0,0.1387387415405273,0.0898635244324117,600040000000.0,,,,0.000109857757373,1.4447098252980722e-05
73,73,13.895833333333334,7301.0,1000,576475000000.0,1000.0,100.0,7301.0,0.0,0.1107782330523416,0.0853220019319741,576475000000.0,,,,0.0001043333114924,1.35776153941271e-05
74,74,13.895833333333334,7401.0,1000,553803000000.0,1000.0,100.0,7401.0,0.0,0.1068026823852306,0.0733906690885509,553803000000.0,,,,9.904243425548036e-05,1.2762492578730274e-05
75,75,13.895833333333334,7501.0,1000,531992000000.0,1000.0,100.0,7501.0,0.0,0.1397110970334206,0.0827352388329263,531992000000.0,,,,9.3997756006862e-05,1.1997694693996112e-05
76,76,13.895833333333334,7601.0,1000,511010000000.0,1000.0,100.0,7601.0,0.0,0.1650521251172313,0.100705474192712,511010000000.0,,,,8.916731522433029e-05,1.1277087514114012e-05
77,77,13.895833333333334,7701.0,1000,490829000000.0,1000.0,100.0,7701.0,0.0,0.1083253487478505,0.0791108278810308,490829000000.0,,,,8.456825919355614e-05,1.0598951115658324e-05
78,78,13.895833333333334,7801.0,1000,471418000000.0,1000.0,100.0,7801.0,0.0,0.1139952582352532,0.0730283137859399,471418000000.0,,,,8.017623834534352e-05,9.95873640839654e-06
79,79,13.895833333333334,7901.0,1000,452752000000.0,1000.0,100.0,7901.0,0.0,0.1136421798592887,0.0802879717809672,452752000000.0,,,,7.598904797023216e-05,9.353984940099122e-06
80,80,13.895833333333334,8001.0,1000,434801000000.0,1000.0,100.0,8001.0,0.0,0.130229241518559,0.0738264486624828,434801000000.0,,,,7.200474906404656e-05,8.781719039765262e-06
81,81,13.895833333333334,8101.0,1000,417541000000.0,1000.0,100.0,8101.0,0.0,0.127757918308352,0.0811994937241373,417541000000.0,,,,6.821250358075222e-05,8.239970966575051e-06
82,82,13.895833333333334,8201.0,1000,400947000000.0,1000.0,100.0,8201.0,0.0,0.1124605025259421,0.0852611276774709,400947000000.0,,,,6.460377085069844e-05,7.725837188733814e-06
83,83,13.895833333333334,8301.0,1000,384993000000.0,1000.0,100.0,8301.0,0.0,0.1669861823777473,0.0763125058545695,384993000000.0,,,,6.118177385116258e-05,7.238324182797143e-06
84,84,13.895833333333334,8401.0,1000,369656000000.0,1000.0,100.0,8401.0,0.0,0.1231339793665767,0.0700599875206826,369656000000.0,,,,5.792515876970123e-05,6.77595019404584e-06
85,85,13.895833333333334,8501.0,1000,354914000000.0,1000.0,100.0,8501.0,0.0,0.1363799247399893,0.0809195619186893,354914000000.0,,,,5.4831731663944665e-05,6.336746304647818e-06
86,86,13.895833333333334,8601.0,1000,340744000000.0,1000.0,100.0,8601.0,0.0,0.1376988280703213,0.0852132402557186,340744000000.0,,,,5.189587710471025e-05,5.9205532039922325e-06
87,87,13.895833333333334,8701.0,1000,327125000000.0,1000.0,100.0,8701.0,0.0,0.1236762683010813,0.0808172295503625,327125000000.0,,,,4.911082572661504e-05,5.526463545655683e-06
88,88,13.895833333333334,8801.0,1000,314037000000.0,1000.0,100.0,8801.0,0.0,0.1333533698910735,0.082180622177327,314037000000.0,,,,4.647004102147673e-05,5.1536594219785225e-06
89,89,13.895833333333334,8901.0,1000,301460000000.0,1000.0,100.0,8901.0,0.0,0.1180854102503506,0.0954865432795468,301460000000.0,,,,4.396407170229604e-05,4.802338818337269e-06
90,90,13.895833333333334,9001.0,1000,289374000000.0,1000.0,100.0,9001.0,0.0,0.1314320715392769,0.0911360165089036,289374000000.0,,,,4.158825666646327e-05,4.471732948344449e-06
91,91,13.895833333333334,9101.0,1000,277761000000.0,1000.0,100.0,9101.0,0.0,0.1011697464373589,0.0721439142201714,277761000000.0,,,,3.9339203319006505e-05,4.161862234854735e-06
92,92,13.895833333333334,9201.0,1000,266603000000.0,1000.0,100.0,9201.0,0.0,0.1546273728452668,0.0871938515983267,266603000000.0,,,,3.720645483084888e-05,3.872533774985077e-06
93,93,13.895833333333334,9301.0,1000,255884000000.0,1000.0,100.0,9301.0,0.0,0.1379666826776316,0.0674316241080934,255884000000.0,,,,3.518853078187786e-05,3.605104126608918e-06
94,94,13.895833333333334,9401.0,1000,245586000000.0,1000.0,100.0,9401.0,0.0,0.135636734656722,0.0652714257242781,245586000000.0,,,,3.327626896328653e-05,3.3585937411854976e-06
95,95,13.895833333333334,9501.0,1000,235693000000.0,1000.0,100.0,9501.0,0.0,0.1300556092456626,0.0868414784989906,235693000000.0,,,,3.146559186532331e-05,3.1336543263895643e-06
96,96,13.895833333333334,9601.0,1000,226190000000.0,1000.0,100.0,9601.0,0.0,0.1237182202772023,0.06871576810904,226190000000.0,,,,2.975318172860093e-05,2.931427484267828e-06
97,97,13.895833333333334,9701.0,1000,217063000000.0,1000.0,100.0,9701.0,0.0,0.1293732159335748,0.0728581365465264,217063000000.0,,,,2.813139347061836e-05,2.7509967884780622e-06
98,98,13.895833333333334,9801.0,1000,208296000000.0,1000.0,100.0,9801.0,0.0,0.1219635574029842,0.0761721907162278,208296000000.0,,,,2.65969163312289e-05,2.594450136650308e-06
