,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
198,198,0.02,2480,1000000.0,17.15,2.43,0.81,1.5578466214668023,,16662.7,0.5346995416614061,2480.0,0.2485230602252613,0.0003790950710153,0.0004477648699332,4.1421954004803337e-07,5.11818835458951e-07,4385148283875.155,8877047770772.121,6202514683272.312,9.994659805163923,5.345474763900656,43839011745890.98,88745231928123.75,62007507261247.61,0.0004679032242345,0.0009471969942047,0.000661819494072,0.0002498887809643,0.0005058608061573,0.0003534518636041
199,199,0.02,2490,1000000.0,17.15,2.43,0.81,1.5560085146306568,,16824.6,0.5495760505033409,2490.0,0.2562995168810175,0.0003744926608157,0.0004119975364958,3.948503397725958e-07,-1.6114127486940765e-07,4386405920014.505,9103270296135.465,6375082185838.752,9.730941646751273,5.347348910714179,42679521600072.36,88574388307848.64,62029247364284.48,0.0004699246639232,0.0009752520201094,0.0006829756315971,0.0002502285231844,0.0005193085008291,0.0003636752798602
200,200,0.02,2500,1000000.0,17.15,2.43,0.81,1.5597127003734337,,16818.1,0.5551319196969355,2500.0,0.2543006973841329,0.0003636940358762,0.0004376984546086,8.582938434579001e-08,8.823815275093479e-08,4304954042130.97,9174332497498.828,6439530268484.452,9.853826697508952,5.469668871383315,42416355971449.88,90393938984241.6,63448158908046.46,0.0004631369765541,0.0009869960453029,0.0006927796556681,0.0002458709259312,0.0005239780968357,0.0003677840121356
201,201,0.02,2510,1000000.0,17.15,2.43,0.81,1.5634793730249614,,16844.9,0.5488333799758509,2510.0,0.2531151213212979,0.0003718938559857,0.0004275683841646,6.300219167123276e-07,-3.0313635968125285e-07,4209552024414.777,9049512039560.725,6366467207719.871,9.934765133044774,5.45251251284021,41820770973484.414,89904476351227.16,63249145148946.44,0.0004547695419727,0.0009776438018674,0.0006877870517449,0.0002407411742336,0.0005175349163069,0.0003640935620743
202,202,0.02,2520,1000000.0,17.15,2.43,0.81,1.56164737458027,,16956.2,0.5636876239851653,2520.0,0.2599210456538003,0.0003933293549255,0.0004283188249947,7.563834631770787e-07,1.1666398158537595e-07,4323484075966.217,9273148938947.934,6538776438227.917,9.724059154143529,5.481146282131737,42040391983950.43,90169596896642.16,63581296872728.16,0.000469026084878,0.0010059823662827,0.0007093484464909,0.0002475598403589,0.0005309743786758,0.0003744060167098
203,203,0.02,2530,1000000.0,17.15,2.43,0.81,1.5654742801499508,,16969.7,0.5690100950487545,2530.0,0.2598708380303378,0.0003770272851591,0.0004306091057513,6.789565131538143e-07,-7.499698940513075e-07,4364307429023.948,9339217898168.363,6600517102565.554,9.759423680187805,5.553003698120014,42591538364580.49,91141988476731.6,64414842898192.15,0.0004753335280838,0.0010171701845654,0.0007188877347813,0.0002501594871646,0.0005353183747752,0.0003783376859335
204,204,0.02,2540,1000000.0,17.15,2.43,0.81,1.5636511682459822,,17101.2,0.565407971819565,2540.0,0.250051020383853,0.0003732728355872,0.0004329718125316,4.940615280693665e-07,-3.055538258694043e-07,4336679143856.0654,9258741651499.168,6558732473106.956,10.178276565799248,5.754345662246268,44135831229428.89,94229304352937.8,66750409682056.734,0.0004742795614582,0.0010125793918485,0.0007172937304974,0.0002488297277333,0.0005312475486133,0.0003763265764937
205,205,0.02,2550,1000000.0,17.15,2.43,0.81,1.5675391969459505,,16982.0,0.5748796140505135,2550.0,0.2626361437858122,0.0003708012576882,0.0004394047588772,2.3331717344847278e-07,3.863288164907465e-07,4409326639767.438,9392130938509.242,6668603522985.957,9.715798902083527,5.58543564160934,42840291371143.64,91252397219292.95,64791053442668.35,0.000484213227131,0.0010314032964481,0.0007323172665866,0.0002532494767541,0.0005394366169954,0.000383010942679
206,206,0.02,2560,1000000.0,17.15,2.43,0.81,1.571493027829385,,17066.8,0.5790840379965888,2560.0,0.2569752103934661,0.0003676180947993,0.0004185739577876,2.9375585993182e-07,-4.637214613065594e-07,4441574571433.836,9438950207049.95,6717374840760.431,9.981130510229182,5.780094691277904,44333326282101.52,94214349564453.5,67049098418823.69,0.0004896855362819,0.0010406483826265,0.0007405935098918,0.0002553964758254,0.0005427522558952,0.0003862580338429
207,207,0.02,2570,1000000.0,17.15,2.43,0.81,1.5696747195308494,,17192.3,0.5804125750810012,2570.0,0.2645047387924023,0.0003826635648665,0.0004319375270764,-8.292203727535349e-08,2.5314751432137736e-08,4451764450871.279,9438683948056.584,6732785870939.613,9.73926875811348,5.652170722740517,43352149443419.77,91915742978106.6,65565180383790.0,0.0004927995198493,0.0010448394044527,0.0007453030547917,0.0002563346836454,0.0005434838456875,0.0003876769661391
