Energy[eV],ThetaB[deg],Reflectivity_1,Reflectivity_2
9800,22.726483401865718,0.9485086093036061,0.899668581923061
9850,22.604721290058567,0.9489923355999429,0.9005864530274347
9900,22.4842890987782,0.9494768478665516,0.9015062846346028
9950,22.36517633639274,0.9499566926269462,0.9024177178667262
10000,22.247348963425207,0.9504453695140834,0.9033464004307625
10050,22.13079751053074,0.950922533876064,0.904253665433274
10100,22.015488930490434,0.9514147904945397,0.9051901035717689
10150,21.901408700612095,0.9518943419936666,0.9061028383195555
10200,21.788542759052316,0.9523855558795652,0.9070382470480284
10250,21.67685944162354,0.9528674307730471,0.9079563406280278
10300,21.566351585650935,0.9533579614679946,0.9088914026944102
10350,21.456988384396674,0.9537876325634617,0.909710848031013
10400,21.34876350844717,0.9541884233924546,0.9104755473361782
10450,21.24164696097317,0.9545827262377836,0.9112281812315594
10500,21.135633199918434,0.9549842511017178,0.9119949198523088
10550,21.030692994028616,0.955378403264706,0.9127478934246193
10600,20.926821545777578,0.9557813630626422,0.9135180139778822
10650,20.82399034810418,0.9561745657333819,0.9142698001554215
10700,20.72219530801828,0.9565796080087696,0.9150445464582113
10750,20.621414620648714,0.9569712730957257,0.9157940175304541
10800,20.52162681018365,0.9573787479946978,0.916574067111895
10850,20.422828771106094,0.9577734655531384,0.9173300113176687
10900,20.324993643128057,0.9581784637798371,0.9181059684514885
10950,20.2281189362752,0.9585767375067517,0.9188693616890878
11000,20.13217838969766,0.9589783586935534,0.9196394924425816
11050,20.037170097269463,0.9593542357619781,0.920360549674449
11100,19.943068366894586,0.9596775092221815,0.9209809217068903
11150,19.849871846582975,0.9600102812152125,0.9216197400389113
11200,19.757561400873833,0.9603318771305098,0.9222373142330086
11250,19.66611815406075,0.9606655558496062,0.9228783101958329
11300,19.57554153362549,0.960992075040695,0.9235057682910207
11350,19.48580714728764,0.9613194079061225,0.9241350040169779
11400,19.39691491012571,0.96165128691247,0.9247731976204098
11450,19.30884692200722,0.9619731290475687,0.9253923010095703
11500,19.221585511783886,0.9623087903377078,0.9260382079612224
11550,19.13513128166035,0.9626364122549989,0.9266688621991761
11600,19.049460985145146,0.9629637818940796,0.9272992452397485
11650,18.964575655040864,0.9632976014590817,0.9279422689768199
11700,18.880458481712292,0.9636222244544776,0.9285677914625957
11750,18.79709285809014,0.9639558299876837,0.9292108421672441
11800,18.714480424819822,0.9642788748781339,0.9298337485362398
11850,18.632598948965192,0.9645411601169721,0.9303396495597944
11900,18.551450452725316,0.9648183684963038,0.9308744841878693
11950,18.471019092404184,0.9650869105986754,0.9313927450088956
12000,18.39128920409178,0.9653530266544884,0.9319064660709814
12050,18.31226334946715,0.9656287171538036,0.9324388193921005
12100,18.23392621179267,0.9658963034037591,0.9329556689290467
12150,18.15626264194893,0.9661649946277459,0.9334747968440322
12200,18.079275704579732,0.9664399939765874,0.9340062619574663
12250,18.002950574416946,0.9667073705649387,0.9345231403045777
12300,17.927272582635055,0.9669773852698758,0.9350452636233657
12350,17.852245263305303,0.967252420405135,0.9355772447795921
12400,17.777854250019622,0.9675202434650604,0.9360954215146897
12450,17.704085322534468,0.9677903254484165,0.9366181140315519
12500,17.630942453504954,0.9680660409750301,0.9371518596890687
12550,17.55841170537969,0.9683348920998348,0.9376724632579987
12600,17.486479277306945,0.9686037721663963,0.9381932674549721
12650,17.415149552122664,0.9688378343566703,0.9386467492809228
12700,17.34440899349121,0.9690582162948935,0.9390738265686407
12750,17.274244193049615,0.9692744512572385,0.9394929618600208
12800,17.20465991762629,0.9695031414197547,0.9399363412227728
12850,17.135643006605207,0.9697254400262727,0.9403674290341482
12900,17.067186435945196,0.9699418651851173,0.9407872218387842
12950,16.99927728231589,0.9701684869780507,0.9412268931252801
13000,16.931920787250473,0.9703931530793923,0.9416628715433649
13050,16.86510425477695,0.9706120959167839,0.9420878407399721
13100,16.79881509903783,0.9708333583444702,0.9425174096744025
13150,16.733058891969765,0.9710608210097414,0.9429591181001131
13200,16.667823261114535,0.9712826705432731,0.9433900260976724
13250,16.603101954071693,0.9714993589154028,0.9438110043730387
13300,16.538882803054747,0.9717277983596584,0.9442549141049089
13350,16.475171789451508,0.9719529322963885,0.9446925025995478
13400,16.411956941850846,0.9721729698982012,0.9451202834006889
13450,16.349226384046062,0.9723933282491705,0.945548784823499
13500,16.2869863830868,0.9726032266279263,0.9459570364470534
13550,16.22522524745151,0.9727859184470556,0.9463124431288816
13600,16.163937391850812,0.972963914942701,0.9466587797806274
13650,16.10311130212421,0.9731472225736204,0.9470155168027515
13700,16.04275360013114,0.973333894206805,0.947378869611784
13750,15.982852942098802,0.9735158520385252,0.9477331141702957
13800,15.92340408359591,0.9736934509298467,0.9480789363836738
13850,15.864395844594968,0.9738789766299378,0.948440261121775
13900,15.80583517452416,0.9740652559708395,0.948803122889537
13950,15.747711050771478,0.9742471276213399,0.9491574656784314
14000,15.690018543810458,0.9744249222532394,0.9495039291082317
14050,15.632746782410116,0.9746110020234389,0.9498666052651316
14100,15.57590301883042,0.974797502263358,0.9502301704188815
14150,15.519476527466063,0.9749798490892324,0.9505857061300624
14200,15.463462670107916,0.975158353392672,0.9509338141915074
14250,15.407850861285025,0.9753433380478065,0.9512946270742377
14300,15.352648633588517,0.9755305969221892,0.9516599455313629
14350,15.297845536440287,0.975713910913616,0.9520176359503438
14400,15.243437201476008,0.975893574898829,0.9523682695288164
14450,15.189413308005406,0.9760466174069203,0.9526669993514911
14500,15.135781648451237,0.9762012622866691,0.9529689044900862
14550,15.082532027230009,0.9763521162039043,0.9532634548158422
14600,15.029660326244015,0.9764994456633084,0.9535511673807485
14650,14.977162487106249,0.9766434975278665,0.9538325212634637
14700,14.92502849339016,0.9767995068026526,0.9541372764899053
14750,14.873266436196124,0.9769521117825523,0.9544354287163885
14800,14.821866413156306,0.9771012956968563,0.9547269420524754
14850,14.770824594047584,0.9772472976665991,0.9550122807966706
14900,14.720131186475728,0.9773970060594813,0.9553049074540377
14950,14.669794501532406,0.977551749132899,0.9556074222327903
15000,14.619804852888246,0.9777031432074467,0.955903436237721
15050,14.570158622491707,0.9778514219917231,0.956193403491235
15100,14.520852242995517,0.977996802552727,0.9564777458033578
15150,14.471876180202697,0.9781502598593371,0.9567779308628888
15200,14.423238998824326,0.9783042090746348,0.9570791254931467
15250,14.374931261670786,0.9784550813643641,0.9573743462477444
15300,14.326949595446354,0.9786030908952535,0.9576640095097438
15350,14.27929067326891,0.9787484369297488,0.9579485027924264
15400,14.231945197206976,0.9789035706712684,0.958252200672959
15450,14.18492196412616,0.9790302533903874,0.9585002370536462
15500,14.138211764966906,0.9791535506501742,0.9587416757508432
15550,14.091811450623435,0.9792741747054073,0.9589779092449566
15600,14.045717914545769,0.9793922999857155,0.9592092772713098
15650,13.999922075356992,0.9795193911369721,0.9594582376133445
15700,13.954432942778023,0.9796458803639795,0.9597060509141164
15750,13.909241516981753,0.97976967211734,0.9599486104009199
15800,13.864344854546523,0.9798909423160728,0.9601862588330811
15850,13.819740051130886,0.9800098550107686,0.9604193159182278
