,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
260,260,2.25,0.02,1400,1,100000.0,,1116.0,1.116,1400.0,0.087721532842579,0.0169852961988848,0.0073902982112241,6082200000000.0,11841241195296.104,11286575747490.906,16.345562093212074,18.267935924983117,99560250791157.95,193830676906756.0,184751292623326.4,0.0003720496366558,0.0007243315715142,0.0006904025526852,0.0002431217047539,0.000473325892901,0.0004511544402624
261,261,2.25,0.02,1405,1,100000.0,,1093.8,1.0938,1405.0,0.0934200905274337,0.016658321190854,0.0072226439601769,5961210000000.0,11573432341274.123,11039897573749.7,15.284834529673631,16.76096738825471,91347272265988.16,177346792870970.88,169171112820708.56,0.0003658972896566,0.0007103738210357,0.0006776256163298,0.0002390579978945,0.0004641208016952,0.0004427248513208
262,262,2.25,0.02,1410,1,100000.0,,1092.4,1.0924,1410.0,0.0864336381757311,0.0164776807842649,0.007464533123852,5953580000000.0,11526402876049.225,10994839811944.566,16.4798097532275,18.005161354625777,98128129382710.48,189980541579722.5,181219209888617.03,0.0003667159719066,0.000709978875446,0.0006772367831784,0.0002395286336167,0.0004637383778192,0.0004423521573558
263,263,2.25,0.02,1415,1,100000.0,,1115.4,1.1154,1415.0,0.090473003829993,0.0165657192908656,0.0069921898819162,6078930000000.0,11736191756995.158,11194752812581.572,16.0933490062747,17.94093070550906,97778072345024.4,188773716208370.8,180064805877558.44,0.0003757234613949,0.0007253846631781,0.0006919196760292,0.0002453506346739,0.0004736823908539,0.0004518294679466
264,264,2.25,0.02,1420,1,100000.0,,1117.0,1.117,1420.0,0.0925652999884277,0.0160703338338199,0.0070894497496952,6087650000000.0,11720085376953.69,11179187472445.96,15.527175919517616,17.339978893417072,94502884969123.05,181939152251945.44,173542412549476.72,0.0003775365720703,0.0007268421899398,0.0006932974328155,0.0002464875129566,0.0004745434931715,0.0004526426645684
265,265,2.25,0.02,1425,1,100000.0,,1122.6,1.1226000000000005,1425.0,0.1003987496902481,0.0158084138250179,0.0067112656287737,6118170000000.0,11745736877283.691,11203451190985.66,14.398244041358575,16.156677045270445,88053889896723.92,169046924447707.06,161242243617678.44,0.0003807513751266,0.0007309711021273,0.0006972230989222,0.000248498005735,0.0004770694815432,0.0004550437922302
266,266,2.25,0.02,1430,1,100000.0,,1080.0,1.08,1430.0,0.092352663170277,0.0157457999237447,0.0063164827603536,5886000000000.0,11268164091239.656,10747730586753.111,15.83796646400924,17.10838869687907,93240718397990.94,178500121456614.03,170255881932878.12,0.0003675475823548,0.0007036334470461,0.0006711353029159,0.0002398181195912,0.0004591080400283,0.0004379035914353
267,267,2.25,0.02,1435,1,100000.0,,1115.0,1.115,1435.0,0.0934747841953139,0.0162316983856643,0.0072057459306913,6076750000000.0,11600453891805.523,11070291586590.098,15.430494856250911,17.198092915917222,93729606391748.84,178928864482587.34,170751482791455.75,0.0003807856257818,0.0007269158834154,0.0006936944763873,0.0002483494117959,0.0004740964990489,0.0004524294078149
268,268,2.25,0.02,1440,1,100000.0,,1129.0,1.129,1440.0,0.0941745791469201,0.0135281988340138,0.0067769743364543,6153050000000.0,11712814540052.871,11187315934276.168,15.337378112779277,17.30929732140816,94335670401674.48,179575367001140.56,171518669384334.2,0.0003868534451415,0.0007364059543029,0.0007033669011404,0.0002522413757762,0.0004801612946092,0.0004586187277051
269,269,2.25,0.02,1445,1,100000.0,,1111.4,1.1114000000000002,1445.0,0.098394003972271,0.015976620543626,0.0071736868535007,6057130000000.0,11497447008577.154,10991284414700.896,14.766395993650525,16.436635193114366,89579661802473.3,170037198247387.75,162551495616521.62,0.0003820609426466,0.0007252156453843,0.0006932888157226,0.0002490570615022,0.0004727520074249,0.000451939614712
270,270,2.25,0.02,1450,1,100000.0,,1113.4,1.1134,1450.0,0.0969196197840119,0.016703783794784,0.0073848121862025,6068030000000.0,11485301783342.79,10989392392906.902,14.995236254861428,16.6867940286321,90943027456044.95,172132984745214.72,164700671241471.06,0.0003840587657637,0.000726929634055,0.0006955424542912,0.0002502590011135,0.0004736792915965,0.0004532268896319
271,271,2.25,0.02,1455,1,100000.0,,1104.8,1.1048000000000002,1455.0,0.0935638048759301,0.0152983214763465,0.0071682197218635,6021160000000.0,11364006678356.88,10883005553883.54,15.750443841825676,17.39632971975853,94809996972683.95,178939180950610.28,171365272408871.62,0.0003823642641067,0.000721653311135,0.0006911080937693,0.0002490609275111,0.0004700639151848,0.0004501676516417
272,272,2.25,0.02,1460,1,100000.0,,1112.8,1.1128,1460.0,0.1018357306216784,0.0158108297467289,0.006580018763676,6064760000000.0,11413477387172.023,10940151294942.586,14.562159819011692,16.2342951145391,88476908374238.1,166507692475259.94,159602484471427.97,0.0003863713749979,0.0007271253852733,0.0006969709103927,0.0002516090757096,0.0004735116469605,0.000453874737903
