,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
37,37,2,25,3000,1000000.0,335,17.15,2.43,0.81,,2861.75,0.2861749999999999,335.0,0.0002420902534367,0.0121588351441907,0.0009236521050285,-4.796924723116039e-05,2.724656042072208e-07,6610642500000.0,4464330000000.0,3605805000000.0,4.165241168130929,1.1915847003783218,27525606578739.227,18588721325901.816,15013967224766.854,9.486990947673256e-05,6.406799081545576e-05,5.174722335094502e-05,5.1345793122196544e-05,3.467508106953533e-05,2.8006796248470847e-05
38,38,2,25,3000,1000000.0,340,17.15,2.43,0.81,,2933.25,0.293325,340.0,0.0002456531656917,0.0113302479358214,0.0009776596899601,-7.723527901564716e-05,-4.897951148119504e-06,6761652941527.655,4575870000000.0,3695895000000.0,4.1663963561381365,1.2222782708568642,28175646349628.074,19067541025367.08,15400706212796.492,9.852222157008318e-05,6.667376777756732e-05,5.385188935880437e-05,5.3306000516592216e-05,3.607421597843054e-05,2.913686675180928e-05
39,39,2,25,3000,1000000.0,345,17.15,2.43,0.81,,3074.0,0.3073999999999999,345.0,0.0002756476730496,0.0118768351775594,0.0009205260678477,-1.1276363430982085e-05,-3.286940909893429e-06,7070200000000.0,4795440000000.0,3873240000000.0,3.7844407396796313,1.163443464961858,26759199694122.727,18149718053404.984,14659387658519.408,0.0001046189252608,7.095892322040635e-05,5.731297644725127e-05,5.653830621783824e-05,3.834772073905551e-05,3.097315905846791e-05
40,40,2,25,3000,1000000.0,350,17.15,2.43,0.81,,3053.0,0.3053,350.0,0.0002703907371994,0.0116084630942886,0.0009438425911549,-2.71062571671077e-05,-1.2923851264096788e-05,7021900000000.0,4762680000000.0,3846780000000.0,3.8966795760106567,1.1896201630860397,27361263750978.902,18558074544142.21,14989214054884.098,0.0001054809575749,7.15436060073846e-05,5.778522023673373e-05,5.69695838775891e-05,3.864023949958218e-05,3.120942421120099e-05
41,41,2,25,3000,1000000.0,355,17.15,2.43,0.81,,3127.25,0.312725,355.0,0.0002389807125097,0.0120896326307357,0.0009246854764489,4.959629325357877e-05,-1.5370046049423073e-06,7188398707067.06,4878510000000.0,3940335000000.0,4.476795434187463,1.3994237200319046,32167609432300.96,21831010032497.71,17632738872402.0,0.0001095328310578,7.433602856763163e-05,6.00406384584717e-05,5.913165446808367e-05,4.013054636987316e-05,3.241313360643601e-05
42,42,2,25,3000,1000000.0,360,17.15,2.43,0.81,,3188.75,0.318875,360.0,0.0002954105666219,0.0116200197748137,0.0008587102826909,2.2807954413189966e-05,4.083096767090437e-06,7302237500000.0,4974450000000.0,4017825000000.0,3.665422549134095,1.1695581840733564,26782882415279.85,18245107671544.36,14736433119324.29,0.0001129188268619,7.69228689540282e-05,6.213000953979201e-05,6.091543274244004e-05,4.149697601668405e-05,3.351678832116789e-05
43,43,2,25,3000,1000000.0,365,17.15,2.43,0.81,,3285.25,0.3285249999999999,365.0,0.0002824161231131,0.0121257634397357,0.0008646230724228,2.8392951949758125e-05,9.165652313264498e-06,7523222500000.0,5124990000000.0,4139415000000.0,3.92024345855445,1.2893087136956818,29525169543631.11,20113215933652.637,16245289792565.59,0.0001180222200982,8.039941631150416e-05,6.493799009775337e-05,6.360627081959452e-05,4.333003601684168e-05,3.499733678283366e-05
44,44,2,25,3000,1000000.0,370,17.15,2.43,0.81,,3351.75,0.335175,370.0,0.0002763909579498,0.0120012499998794,0.0008813293165877,4.550528011380139e-05,4.123147144254495e-06,7648997640047.139,5223893142016.84,4223205000000.0,4.033265947565156,1.3526201678502314,30868019606971.234,21081355168453.76,17043014114912.914,0.0001217298048154,8.313553258602598e-05,6.721010314529821e-05,6.555478304134467e-05,4.4770726528028046e-05,3.619445325288607e-05
45,45,2,25,3000,1000000.0,375,17.15,2.43,0.81,,3475.25,0.347525,375.0,0.000289377770926,0.0116559326992995,0.0008328918671989,-3.4181742224903124e-05,1.4944331707181845e-06,7923570000000.0,5406126073384.876,4378815000000.0,3.929194370514389,1.3667471738687933,31161835564208.49,21261225904257.75,17221014390746.797,0.0001278558944263,8.723404784644848e-05,7.065720481460775e-05,6.880069811664799e-05,4.694162453988447e-05,3.802143843288442e-05
46,46,2,25,3000,1000000.0,380,17.15,2.43,0.81,,3598.0,0.3598,380.0,0.0003221697501486,0.0119112699962975,0.00086414063958,3.5832509244540625e-05,-5.815517644900155e-06,8183277353122.441,5586466083868.176,4533480000000.0,3.55098775612542,1.2786615041603542,29081828041425.523,19853249376708.41,16111134952420.465,0.0001338520314127,9.137657218219956e-05,7.41531150887648e-05,7.200229957082032e-05,4.915370543556419e-05,3.988878428198112e-05
47,47,2,25,3000,1000000.0,385,17.15,2.43,0.81,,3697.0,0.3697,385.0,0.0002787927807331,0.0117835211282045,0.000896625946457,6.694906173948135e-05,1.7061515973134563e-06,8392190000000.0,5730350000000.0,4658220000000.0,4.156997817631615,1.5359089523575784,34865133218517.03,23806588761542.47,19352452799705.49,0.0001391685213123,9.502696389168712e-05,7.724772548614566e-05,7.478137280236672e-05,5.106217085624159e-05,4.150860340571897e-05
48,48,2,25,3000,1000000.0,390,17.15,2.43,0.81,,3728.25,0.3728249999999999,390.0,0.0002915731434853,0.0120371971662961,0.0008388524625071,1.5157376515614548e-05,2.5078256256831567e-06,8450830057045.445,5778787500000.0,4697595000000.0,4.031114953345456,1.504272386899859,34097365523226.254,23316221996947.82,18953832074938.227,0.000142013772617,9.711086467099584e-05,7.89417351519063e-05,7.627584826699743e-05,5.215841704800844e-05,4.239974547128428e-05
49,49,2,25,3000,1000000.0,395,17.15,2.43,0.81,,3902.25,0.390225,395.0,0.0002952535786846,0.0119059299707252,0.0008119049283013,-2.192137174707131e-06,-6.158695866442733e-07,8819085000000.0,6048487500000.0,4916835000000.0,4.030619162470038,1.573123929218636,35552600800341.17,24383420902888.86,19821361508154.81,0.0001501412880596,0.0001029730072975,8.370708980320215e-05,8.070726852593288e-05,5.535233018371502e-05,4.499608776224576e-05
50,50,2,25,3000,1000000.0,400,17.15,2.43,0.81,,4072.5,0.40725,400.0,0.0003096936615633,0.0115728959267131,0.0009300103711057,7.180273347074432e-05,2.6859467471665964e-06,9199805998855.51,6312375000000.0,5131350000000.0,3.917622422805144,1.5970037050038668,36076425452397.91,24753557427559.938,20122246683048.72,0.0001587057048318,0.0001088946792641,8.852083604702759e-05,8.537944538250343e-05,5.858243930507091e-05,4.76218538867028e-05
51,51,2,25,3000,1000000.0,405,17.15,2.43,0.81,,4186.5,0.4186499999999999,405.0,0.0003329748794697,0.0120535043735471,0.0008525972213502,1.5936812534467404e-05,1.4854725536124009e-06,9420293485487.207,6489075000000.0,5274990000000.0,3.688117860251727,1.545411124434025,34774217957495.047,23953872428727.383,19472180167868.71,0.0001646262748422,0.0001134011637819,9.218417184861022e-05,8.874385652098378e-05,6.113031845993699e-05,4.969303307065845e-05
52,52,2,25,3000,1000000.0,410,17.15,2.43,0.81,,4245.5,0.42455,410.0,0.0003374613994821,0.0121286097456336,0.000897456585668,-8.576292826981586e-06,-4.6035186442751946e-06,9552375000000.0,6580525000000.0,5349330000000.0,3.684609916183697,1.563234390151227,35172773778402.6,24230133047344.016,19696753315905.453,0.0001690895355462,0.0001164839022651,9.469013990592084e-05,9.13656971238917e-05,6.29408135742365e-05,5.116479038937934e-05
53,53,2,25,3000,1000000.0,415,17.15,2.43,0.81,,4381.25,0.438125,415.0,0.0003313063171219,0.0123036762365959,0.0009694261982657,-2.12053035387315e-05,2.824788966945904e-06,9824800349940.61,6790937500000.001,5520375000000.0,3.81704546724866,1.6743694918603995,37547151998995.57,25952727123836.195,21097055597441.04,0.0001760849569566,0.0001217105584634,9.893890558962235e-05,9.534614361838067e-05,6.590359896548545e-05,5.357324819129785e-05
