,Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
30,30,303.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75705.0,75.705,1000.0,0.0996549762285212,0.1421836351859565,0.3798230716220857,-0.0005409484392516,0.0005996138050536,2316573000000000.0,1324837500000000.0,878178000000000.0,1.0034621830693888,75.96710456926809,2324593399819603.5,1329424329962191.5,881218413003509.9,0.1011846869876875,0.0578670595517821,0.0383575937600384,0.0533162024133653,0.0304912922298658,0.020211370849511
31,31,303.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46278.0,46.278000000000006,1000.0,0.0998658526496001,0.1291373800298088,0.4517063078117759,-0.0012926308048194,0.0009716991167788,1416106800000000.2,809865000000000.1,536824800000000.06,1.0013432754724536,46.34016410231422,1418009021530815.0,810952871790498.8,537545903586844.94,0.0618535756477934,0.0353737769227577,0.0234477607030851,0.0325918659967732,0.0186391390504422,0.0123550864562931
32,32,304.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90198.0,90.198,1000.0,0.0998694338818495,0.1516337717688249,0.0942011019221064,0.0003855693891975,-6.702645298985971e-05,2760058800000000.5,1578465000000000.2,1046296800000000.0,1.001307368161363,90.3159219934186,2763667212998610.0,1580528634884826.0,1047664695123656.0,0.1205555299770879,0.0689451560326483,0.0457007891416411,0.0635230807117195,0.0363285592305585,0.0240806449756845
33,33,304.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89838.0,89.838,1000.0,0.0998264162376472,0.1228298235493744,0.1786799578127886,-2.8442106868657868e-05,-0.0002720467551476,2749042800000000.0,1572165000000000.0,1042120800000000.0,1.0017388559951863,89.99421534489554,2753822989553804.0,1574898768535672.0,1043932898000788.2,0.1200743664170117,0.0686699807940426,0.045518387269194,0.0632695461648757,0.0361835639831805,0.0239845338402796
34,34,304.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75478.0,75.478,1000.0,0.0998981520367578,0.1402160048572453,0.368782042820058,-0.0007789935011395,0.0006927149691518,2309626799999999.5,1320864999999999.8,875544799999999.9,1.0010195179907295,75.55495117890428,2311981506074470.5,1322211645630824.8,876437433675289.6,0.1008812866317506,0.0576935462763279,0.0382425792460231,0.0531563347963277,0.0303998646711024,0.0201507674391307
35,35,304.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46346.0,46.346,1000.0,0.0997323136807608,0.1493854101616416,0.4252510313858937,-0.0006314461573764,0.0005230930336607,1418187600000000.0,811055000000000.0,537613600000000.0,1.0026840480217476,46.4703948896159,1421994083622247.0,813231910568278.5,539056580719544.5,0.06194446209803,0.0354257544678276,0.0234822143901029,0.0326397558556215,0.0186665270416136,0.0123732407818696
36,36,304.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90156.0,90.156,1000.0,0.0997162784775582,0.1416817137661672,0.0838443942406648,0.0003697814522562,4.467492000993487e-06,2758773600000000.0,1577730000000000.0,1045809600000000.0,1.002845287918618,90.41251977759092,2766623105194282.0,1582219096107841.0,1048785229420054.6,0.1204993942284124,0.068913052254811,0.045679508923189,0.0634935016812544,0.0363116431183644,0.0240694320098872
37,37,304.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89834.0,89.834,1000.0,0.0999309914218429,0.121527311916707,0.1938031060078519,0.0003229999579014,0.0003495570496338,2748920400000000.0,1572095000000000.0,1042074400000000.0,1.0006905623288154,89.8960359762468,2750818700873152.0,1573180629584319.0,1042794017324462.8,0.1200690201552331,0.0686669232913915,0.0455163605817223,0.0632667291143552,0.0361819529248763,0.0239834659387751
38,38,304.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75608.0,75.608,1000.0,0.0999316892171009,0.1312540281004034,0.3650023069281596,-0.0005239671838404,0.0002122180818322,2313604800000000.5,1323140000000000.2,877052800000000.1,1.0006835747842775,75.65968372228966,2315186321902063.5,1324044465140069.2,877652331178560.1,0.1010550401395559,0.0577929151124911,0.0383084465888512,0.0532478889382435,0.0304522240659889,0.0201854742380269
39,39,304.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46362.0,46.362,1000.0,0.0997809631612653,0.1290838714034893,0.4258239310366101,-0.0010219506187656,-5.063902984756994e-05,1418677199999999.8,811334999999999.9,537799200000000.0,1.0021951766328474,46.463772779052064,1421791447038993.0,813116023633411.1,538979764237004.0,0.0619658471451445,0.0354379844784323,0.0234903211399894,0.0326510240577034,0.0186729712748304,0.0123775123878876
40,40,305.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90245.0,90.245,1000.0,0.0999314721390192,0.1464925823779362,0.0796864310123011,0.0007606579300036,4.173117468612896e-05,2761497000000000.5,1579287500000000.2,1046842000000000.0,1.0006857485386131,90.30688537686716,2763390692532135.5,1580370494095175.2,1047559870371659.0,0.1206183485529868,0.0689810816887996,0.0457246027194329,0.0635561810553352,0.0363474891656329,0.0240931928183623
