Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
230,328.5,10.0,10,1000,100000.0,17.15,2.43,0.81
231,328.5,20.0,10,1000,100000.0,17.15,2.43,0.81
232,329.0,2.25,10,1000,100000.0,17.15,2.43,0.81
233,329.0,5.0,10,1000,100000.0,17.15,2.43,0.81
234,329.0,10.0,10,1000,100000.0,17.15,2.43,0.81
235,329.0,20.0,10,1000,100000.0,17.15,2.43,0.81
236,329.5,2.25,10,1000,100000.0,17.15,2.43,0.81
237,329.5,5.0,10,1000,100000.0,17.15,2.43,0.81
238,329.5,10.0,10,1000,100000.0,17.15,2.43,0.81
239,329.5,20.0,10,1000,100000.0,17.15,2.43,0.81
240,330.0,2.25,10,1000,100000.0,17.15,2.43,0.81
241,330.0,5.0,10,1000,100000.0,17.15,2.43,0.81
242,330.0,10.0,10,1000,100000.0,17.15,2.43,0.81
243,330.0,20.0,10,1000,100000.0,17.15,2.43,0.81
244,330.5,2.25,10,1000,100000.0,17.15,2.43,0.81
245,330.5,5.0,10,1000,100000.0,17.15,2.43,0.81
246,330.5,10.0,10,1000,100000.0,17.15,2.43,0.81
247,330.5,20.0,10,1000,100000.0,17.15,2.43,0.81
248,331.0,2.25,10,1000,100000.0,17.15,2.43,0.81
249,331.0,5.0,10,1000,100000.0,17.15,2.43,0.81
250,331.0,10.0,10,1000,100000.0,17.15,2.43,0.81
251,331.0,20.0,10,1000,100000.0,17.15,2.43,0.81
252,331.5,2.25,10,1000,100000.0,17.15,2.43,0.81
253,331.5,5.0,10,1000,100000.0,17.15,2.43,0.81
254,331.5,10.0,10,1000,100000.0,17.15,2.43,0.81
255,331.5,20.0,10,1000,100000.0,17.15,2.43,0.81
256,332.0,2.25,10,1000,100000.0,17.15,2.43,0.81
257,332.0,5.0,10,1000,100000.0,17.15,2.43,0.81
258,332.0,10.0,10,1000,100000.0,17.15,2.43,0.81
259,332.0,20.0,10,1000,100000.0,17.15,2.43,0.81
260,332.5,2.25,10,1000,100000.0,17.15,2.43,0.81
261,332.5,5.0,10,1000,100000.0,17.15,2.43,0.81
262,332.5,10.0,10,1000,100000.0,17.15,2.43,0.81
263,332.5,20.0,10,1000,100000.0,17.15,2.43,0.81
264,333.0,2.25,10,1000,100000.0,17.15,2.43,0.81
265,333.0,5.0,10,1000,100000.0,17.15,2.43,0.81
266,333.0,10.0,10,1000,100000.0,17.15,2.43,0.81
267,333.0,20.0,10,1000,100000.0,17.15,2.43,0.81
268,333.5,2.25,10,1000,100000.0,17.15,2.43,0.81
269,333.5,5.0,10,1000,100000.0,17.15,2.43,0.81
270,333.5,10.0,10,1000,100000.0,17.15,2.43,0.81
271,333.5,20.0,10,1000,100000.0,17.15,2.43,0.81
272,334.0,2.25,10,1000,100000.0,17.15,2.43,0.81
273,334.0,5.0,10,1000,100000.0,17.15,2.43,0.81
274,334.0,10.0,10,1000,100000.0,17.15,2.43,0.81
275,334.0,20.0,10,1000,100000.0,17.15,2.43,0.81
276,334.5,2.25,10,1000,100000.0,17.15,2.43,0.81
277,334.5,5.0,10,1000,100000.0,17.15,2.43,0.81
278,334.5,10.0,10,1000,100000.0,17.15,2.43,0.81
279,334.5,20.0,10,1000,100000.0,17.15,2.43,0.81
280,335.0,2.25,10,1000,100000.0,17.15,2.43,0.81
281,335.0,5.0,10,1000,100000.0,17.15,2.43,0.81
282,335.0,10.0,10,1000,100000.0,17.15,2.43,0.81
283,335.0,20.0,10,1000,100000.0,17.15,2.43,0.81
284,335.5,2.25,10,1000,100000.0,17.15,2.43,0.81
285,335.5,5.0,10,1000,100000.0,17.15,2.43,0.81
286,335.5,10.0,10,1000,100000.0,17.15,2.43,0.81
287,335.5,20.0,10,1000,100000.0,17.15,2.43,0.81
288,336.0,2.25,10,1000,100000.0,17.15,2.43,0.81
289,336.0,5.0,10,1000,100000.0,17.15,2.43,0.81
290,336.0,10.0,10,1000,100000.0,17.15,2.43,0.81
291,336.0,20.0,10,1000,100000.0,17.15,2.43,0.81
292,336.5,2.25,10,1000,100000.0,17.15,2.43,0.81
293,336.5,5.0,10,1000,100000.0,17.15,2.43,0.81
294,336.5,10.0,10,1000,100000.0,17.15,2.43,0.81
295,336.5,20.0,10,1000,100000.0,17.15,2.43,0.81
296,337.0,2.25,10,1000,100000.0,17.15,2.43,0.81
297,337.0,5.0,10,1000,100000.0,17.15,2.43,0.81
298,337.0,10.0,10,1000,100000.0,17.15,2.43,0.81
299,337.0,20.0,10,1000,100000.0,17.15,2.43,0.81
300,337.5,2.25,10,1000,100000.0,17.15,2.43,0.81
301,337.5,5.0,10,1000,100000.0,17.15,2.43,0.81
302,337.5,10.0,10,1000,100000.0,17.15,2.43,0.81
303,337.5,20.0,10,1000,100000.0,17.15,2.43,0.81
304,338.0,2.25,10,1000,100000.0,17.15,2.43,0.81
305,338.0,5.0,10,1000,100000.0,17.15,2.43,0.81
306,338.0,10.0,10,1000,100000.0,17.15,2.43,0.81
307,338.0,20.0,10,1000,100000.0,17.15,2.43,0.81
308,338.5,2.25,10,1000,100000.0,17.15,2.43,0.81
309,338.5,5.0,10,1000,100000.0,17.15,2.43,0.81
310,338.5,10.0,10,1000,100000.0,17.15,2.43,0.81
311,338.5,20.0,10,1000,100000.0,17.15,2.43,0.81
312,339.0,2.25,10,1000,100000.0,17.15,2.43,0.81
313,339.0,5.0,10,1000,100000.0,17.15,2.43,0.81
314,339.0,10.0,10,1000,100000.0,17.15,2.43,0.81
315,339.0,20.0,10,1000,100000.0,17.15,2.43,0.81
316,339.5,2.25,10,1000,100000.0,17.15,2.43,0.81
317,339.5,5.0,10,1000,100000.0,17.15,2.43,0.81
318,339.5,10.0,10,1000,100000.0,17.15,2.43,0.81
319,339.5,20.0,10,1000,100000.0,17.15,2.43,0.81
320,340.0,2.25,10,1000,100000.0,17.15,2.43,0.81
321,340.0,5.0,10,1000,100000.0,17.15,2.43,0.81
322,340.0,10.0,10,1000,100000.0,17.15,2.43,0.81
323,340.0,20.0,10,1000,100000.0,17.15,2.43,0.81
324,340.5,2.25,10,1000,100000.0,17.15,2.43,0.81
325,340.5,5.0,10,1000,100000.0,17.15,2.43,0.81
