,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
71,71,0.1,760,2.25,1,100000.0,0.01715,0.00243,5.72,7454000000000.0,100000.0,100.0,7454000000000.0,760.0,0.7567147332415517,0.03508183162168519,0.004917416950719863,1.004341486446782,100.4341486446782,7486361439974.312
72,72,0.1,770,2.25,1,100000.0,0.01715,0.00243,5.72,7472970000000.0,100000.0,100.0,7472970000000.0,770.0,0.769038347844571,0.03516567909247839,0.004778281345881936,1.0012504606020287,100.12504606020288,7482314654565.143
73,73,0.1,780,2.25,1,100000.0,0.01715,0.00243,5.72,7491600000000.0,100000.0,100.0,7491600000000.0,780.0,0.7768036779506247,0.033665997995438325,0.005313562894257353,1.0041147102415993,100.41147102415992,7522425763245.965
74,74,0.1,790,2.25,1,100000.0,0.01715,0.00243,5.72,7509910000000.0,100000.0,100.0,7509910000000.0,790.0,0.786888646891157,0.035528285703908105,0.005296850000292453,1.0039539941529663,100.39539941529662,7539604140229.303
75,75,0.1,800,2.25,1,100000.0,0.01715,0.00243,5.72,7527910000000.0,100000.0,100.0,7527910000000.0,800.0,0.7995343345837682,0.034218284827230695,0.00529760701269418,1.0005824207868124,100.05824207868125,7532294411265.255
76,76,0.1,810,2.25,1,100000.0,0.01715,0.00243,5.72,7545590000000.0,100000.0,100.0,7545590000000.0,810.0,0.8094282118253203,0.037809260752229526,0.0048866637465310005,1.000706409989578,100.0706409989578,7550920280153.258
77,77,0.1,820,2.25,1,100000.0,0.01715,0.00243,5.72,7562970000000.0,100000.0,100.0,7562970000000.0,820.0,0.8192244969662851,0.03413121783967937,0.0056132231379793325,1.0009466306691104,100.09466306691102,7570129339351.56
78,78,0.1,830,2.25,1,100000.0,0.01715,0.00243,5.72,7580040000000.0,100000.0,100.0,7580040000000.0,830.0,0.8294416910679273,0.037459801153476587,0.0047566424220669085,1.0006731141418195,100.06731141418194,7585142232119.557
79,79,0.1,840,2.25,1,100000.0,0.01715,0.00243,5.72,7596830000000.0,100000.0,100.0,7596830000000.0,840.0,0.8392096995903556,0.0327980514880246,0.004957961410478579,1.0009417198228643,100.09417198228643,7603984085401.93
80,80,0.1,850,2.25,1,100000.0,0.01715,0.00243,5.72,7613330000000.0,100000.0,100.0,7613330000000.0,850.0,0.8478901294993194,0.03741614681469528,0.005386160893655136,1.0024883772404882,100.2488377240488,7632274837096.326
81,81,0.1,860,2.25,1,100000.0,0.01715,0.00243,5.72,7629560000000.0,100000.0,100.0,7629560000000.0,860.0,0.8596935148867715,0.03369658021768304,0.0048409841188095815,1.0003565050892222,100.03565050892225,7632279976968.526
82,82,0.1,870,2.25,1,100000.0,0.01715,0.00243,5.72,7645500000000.0,100000.0,100.0,7645500000000.0,870.0,0.8693678766458106,0.03343850896966878,0.004799533879182934,1.000727106868301,100.07271068683008,7651059095561.594
