,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
96,96,0.1,1010,2.25,1,100000.0,0.01715,0.00243,5.72,78427100000.0,3.0446,0.0020335000000000023,159481507.85,0.0013937081054234226,0.0009764773469162064,0.0002593751661076898
97,97,0.1,1020,2.25,1,100000.0,0.01715,0.00243,5.72,78551100000.0,3.1057,0.00207325,162856068.075,0.0014114806125311815,0.0009494941065640609,0.00025888274525272975
98,98,0.1,1030,2.25,1,100000.0,0.01715,0.00243,5.72,78673000000.0,3.123,0.002093,164662589.0,0.0014154368726694427,0.0009877845620994263,0.0002613887092395557
99,99,0.1,1040,2.25,1,100000.0,0.01715,0.00243,5.72,78793000000.0,3.1351,0.00208785,164507965.05,0.0014323479428502877,0.0009614037248954423,0.00025928714856678667
100,100,0.1,1050,2.25,1,100000.0,0.01715,0.00243,5.72,78910900000.0,3.2,0.0021355,168514226.95,0.0014408058685590047,0.000952749517687686,0.00026003099405768
101,101,0.1,1060,2.25,1,100000.0,0.01715,0.00243,5.72,79027000000.0,3.2015,0.0021375,168920212.5,0.0014681560929341684,0.0009669211322956008,0.000263309226189134
102,102,0.1,1070,2.25,1,100000.0,0.01715,0.00243,5.72,79141100000.0,3.2308,0.0021562,170644039.82,0.0014754940314860505,0.000968087791231889,0.0002605278467106065
103,103,0.1,1080,2.25,1,100000.0,0.01715,0.00243,5.72,79253300000.0,3.2863,0.0021909500000000005,173640017.635,0.0015512184951640166,0.0009686309432417533,0.00026289922641537764
104,104,0.1,1090,2.25,1,100000.0,0.01715,0.00243,5.72,79363800000.0,3.2988,0.0021942499999999996,174144018.15,0.0015181429403427046,0.0009567826503596735,0.0002607050529654277
105,105,0.1,1100,2.25,1,100000.0,0.01715,0.00243,5.72,79472300000.0,3.3355,0.0022179,176261614.17,0.0015376549392689183,0.0009450739441977478,0.0002639579980021143
