,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
36,36,2,25,3000,1000000.0,330,17.15,2.43,0.81,,0.00165,7684.5,0.7684500000000001,330.0,0.0004021093980384,0.0129991361405394,0.002894214836635,-0.0009957950936852,-1.4692296970946272e-05,17773241889061.492,11987820000000.0,9682470000000.0,4.114224803132582,3.162284290593848,73139493290004.14,49331634933264.03,39844782061482.48,0.0002511362437018,0.0001693881230989,0.0001368134840415,0.0001360381012411,9.175592618389732e-05,7.411055576391706e-05
37,37,2,25,3000,1000000.0,335,17.15,2.43,0.81,,0.001675,7854.0,0.7854,335.0,0.000397184450037,0.012684746305443,0.0028830326913153,-0.0009863977338266,-1.0187960124417172e-05,18142740000000.0,12252240000000.0,9896040000000.0,4.249385745278892,3.337171632836081,77088664718513.47,52059877472242.86,42048362573734.62,0.0002603680506788,0.0001758329692895,0.0001420189367339,0.0001409172216936,9.516487698790268e-05,7.68639391056137e-05
38,38,2,25,3000,1000000.0,340,17.15,2.43,0.81,,0.0017,8138.0,0.8137999999999999,340.0,0.0003912915825025,0.0135435705192699,0.0028050579234432,-0.0009709030984816,-1.115089067983478e-05,18759509635439.21,12695280000000.0,10253880000000.0,4.344749106690802,3.5357621442818665,81505485394786.03,55157889450797.12,44550603017951.52,0.0002733397559489,0.000184979501295,0.0001494065202767,0.0001478920079106,0.0001000841965847,8.083723570313607e-05
39,39,2,25,3000,1000000.0,345,17.15,2.43,0.81,,0.001725,8200.0,0.8200000000000001,345.0,0.0003906639879289,0.0120911323338292,0.0026669786167716,-0.000925224523777,-1.71660215026601e-06,18860000000000.0,12792000000000.0,10332000000000.0,4.416715565956015,3.621992615939861,83305830166616.78,56503084808661.83,45637106960842.25,0.0002790745566489,0.0001892853514662,0.0001528843223381,0.0001508178630404,0.0001022938549317,8.262195975258194e-05
40,40,2,25,3000,1000000.0,350,17.15,2.43,0.81,,0.00175,8411.5,0.84115,350.0,0.000404161855755,0.0116781437831565,0.0027935159150089,-0.0009549628758214,4.084138923896924e-06,19346450000000.0,13121940000000.0,10598490000000.0,4.329997598132488,3.6421052672138616,83768421145918.84,56816842168536.25,45890526366894.66,0.0002906167948385,0.0001971139999773,0.0001592074615202,0.0001569602537786,0.000106459998215,8.598692163528237e-05
41,41,2,25,3000,1000000.0,355,17.15,2.43,0.81,,0.0017749999999999,8377.5,0.83775,355.0,0.0004286547159892,0.013140965925384,0.002730950245209,-0.0008404211893386,-4.796064671168413e-06,19256794361964.76,13068900000000.0,10555650000000.0,4.153695084697424,3.4779687475368544,79945722433491.3,54256312461574.94,43822406218964.375,0.0002934243479693,0.0001991366469982,0.0001608411379601,0.0001584060869154,0.0001075045654212,8.683061053255022e-05
42,42,2,25,3000,1000000.0,360,17.15,2.43,0.81,,0.0018,8622.5,0.8622500000000001,360.0,0.0004373190845398,0.0112799108598679,0.0026853246038539,-0.0008913179161486,-4.927055911668439e-06,19745525000000.0,13451100000000.002,10864350000000.002,4.123357167832961,3.555199116060813,81414059757792.62,55461106210548.69,44795508862366.25,0.0003053367572301,0.0002080023324362,0.0001680018838908,0.0001647176225234,0.0001122093847757,9.06306569343066e-05
43,43,2,25,3000,1000000.0,365,17.15,2.43,0.81,,0.001825,8792.0,0.8792,365.0,0.0004421289442291,0.0115298186416129,0.0027384069633987,-0.000939083892498,-9.904898586460376e-06,20133680000000.0,13715520000000.0,11077920000000.0,4.143853744141596,3.6404350911844414,83365963588123.7,56790787422477.28,45869482148923.97,0.0003158515665791,0.000215165259329,0.0001737873248426,0.0001702233720556,0.0001159600263785,9.366002130573732e-05
44,44,2,25,3000,1000000.0,370,17.15,2.43,0.81,,0.00185,9075.5,0.90755,370.0,0.0004236875182073,0.0130767007197659,0.0028052178324834,-0.0008462708156803,3.277087699357945e-06,20711114516968.094,14144683287946.248,11435130000000.0,4.366454528877636,3.962796621914356,90434614780367.52,61762440803836.52,49931237436120.89,0.0003296065767442,0.0002251052512819,0.0001819841250376,0.0001775020313244,0.0001212252490803,9.800335958725073e-05
45,45,2,25,3000,1000000.0,375,17.15,2.43,0.81,,0.001875,9305.5,0.93055,375.0,0.000429054500472,0.0127065870232228,0.0027238201572132,-0.0008869582296839,-7.470204076312806e-06,21216540000000.0,14475708560789.283,11724930000000.0,4.370284505548773,4.066957728321826,92726636205737.66,63265912421940.14,51243667376855.01,0.0003423532193612,0.0002335821688324,0.0001891952001733,0.0001842241267029,0.000125693198232,0.00010180807002
46,46,2,25,3000,1000000.0,380,17.15,2.43,0.81,,0.0019,9286.5,0.92865,380.0,0.0004273209603695,0.0110327207663394,0.002778430338336,-0.0008832822507858,4.184473523541688e-06,21121179860970.41,14418765227304.562,11700990000000.0,4.449020303798886,4.1310497920745455,93956437487784.31,64141104931059.28,52051227380139.27,0.0003454743995872,0.0002358445073846,0.0001913904678353,0.0001858391759211,0.0001268665607357,0.0001029536395871
47,47,2,25,3000,1000000.0,385,17.15,2.43,0.81,,0.001925,9721.5,0.97215,385.0,0.0005023596216915,0.011765125378287,0.0028487539724802,-0.0008161643539654,-9.651421490535633e-06,22067805000000.0,15068325000000.0,12249090000000.0,3.8834753627121854,3.770599775672189,85592614907758.69,58444296522918.94,47509557173469.58,0.0003659526047978,0.0002498795319104,0.000203127877553,0.0001966424440622,0.0001342712723772,0.0001091495504486
