,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
46,46,2.25,0.02,546,100000.0,17.15,2.43,0.81,,0.546,100000.0,100.0,546.0,0.5451599878215347,0.0568903622086893,0.0428256957833431,6.965190885537582e-05,6.889533614610645e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0015408544229778,100.15408544229778,3234976959786218.5,1752696495240211.0,1161787391130654.2,0.0763130267113071,0.0413460671036493,0.0274065359087047,0.0434608040060366,0.0235468752354687,0.0156082144417964
47,47,2.25,0.02,547,100000.0,17.15,2.43,0.81,,0.547,100000.0,100.0,547.0,0.5459332096930893,0.0528965863947591,0.0487458160389879,-3.183959458354849e-05,9.97008124879047e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0019540674353011,100.19540674353011,3236311637816022.5,1753419618011777.0,1162266718224949.2,0.0764556249057257,0.0414233261873126,0.0274577476441615,0.0435562211701304,0.0235985718414019,0.0156424819063007
48,48,2.25,0.02,548,100000.0,17.15,2.43,0.81,,0.548,100000.0,100.0,548.0,0.547174310179571,0.052901832257809,0.0492274510453986,5.548170203291052e-05,-2.0347526675922564e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0015090069198571,100.15090069198573,3234874092351139.0,1752640762109750.2,1161750448027034.2,0.0766039052927579,0.0415036638583053,0.0275110000432195,0.0436520582283318,0.0236504959441426,0.0156769001686888
49,49,2.25,0.02,549,100000.0,17.15,2.43,0.81,,0.549,100000.0,100.0,549.0,0.5486337956992884,0.0547200101869087,0.0416642299136464,4.029951569098636e-06,-9.30764617928825e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0006674840368608,100.06674840368608,3232155973439060.5,1751168097064506.5,1160774281482758.5,0.0767578989226367,0.041587096939509,0.027566304257046,0.0437483179584407,0.0237026490486907,0.0157114702265607
50,50,2.25,0.02,550,100000.0,17.15,2.43,0.81,,0.55,100000.0,100.0,550.0,0.5494624507123262,0.0558210044982375,0.0418864421052803,0.0001202809426931,9.465385585694956e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.000978318512897,100.09783185128973,3233159968796658.0,1751712057397570.2,1161134849474961.0,0.0768863278607924,0.0416566791815439,0.0276124273431948,0.0438450031628129,0.0237550326733506,0.0157461930863352
51,51,2.25,0.02,551,100000.0,17.15,2.43,0.81,,0.551,100000.0,100.0,551.0,0.5503766527539256,0.053586553201967,0.0489389774862341,2.103572875619193e-06,-7.234285244358849e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0011325830101176,100.11325830101175,3233658243122679.5,1751982020267705.8,1161313796291736.5,0.077046081308867,0.0417432329072808,0.0276698000985404,0.0439366892711637,0.023804707809454,0.0157791206051238
52,52,2.25,0.02,552,100000.0,17.15,2.43,0.81,,0.552,100000.0,100.0,552.0,0.5514621174766035,0.0545794713934276,0.0436957956845233,1.6100875560744846e-05,0.0001130186815759,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0009753752911583,100.09753752911584,3233150462190442.0,1751706906759527.2,1161131435337743.8,0.0771744843718289,0.0418128011302478,0.02771591389205,0.0440287596403218,0.0238545911363972,0.0158121861246976
53,53,2.25,0.02,553,100000.0,17.15,2.43,0.81,,0.553,100000.0,100.0,553.0,0.5510617952547818,0.0519314945720953,0.0472382366916608,-0.0001388784142288,9.317770507729008e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.003517218507812,100.3517218507812,3241360615780232.5,1756155132388671.0,1164079973469061.8,0.077328602202639,0.0418963015029778,0.0277712627105452,0.0441212166910426,0.0239046839657351,0.0158453905144301
54,54,2.25,0.02,554,100000.0,17.15,2.43,0.81,,0.554,100000.0,100.0,554.0,0.551923050766618,0.0555877213464444,0.0484421776812945,-1.899379698622719e-05,-8.57759136912011e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0037631137719238,100.37631137719238,3242154857483314.0,1756585449100866.8,1164365211975431.8,0.0774684369263329,0.0419720633501803,0.0278214819921195,0.044214062864458,0.0239549876200624,0.0158787346510127
55,55,2.25,0.02,555,100000.0,17.15,2.43,0.81,,0.555,100000.0,100.0,555.0,0.5538862242856339,0.0612626088187263,0.0438690636293948,-0.0002003403579201,-4.379802860494201e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0020108384457522,100.20108384457522,3236495008179780.0,1753518967280066.2,1162332572597072.5,0.0776168880896457,0.0420524935470217,0.0278747957225972,0.0443073006222912,0.0240055034331299,0.0159122194185318
