,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
93,93,500000.0,615,17.15,2.43,0.81,,0.001845,3767.0,0.7534,615.0,0.0005525750966626,0.012200713075343,0.0007629687620627,3.033210728533993e-05,-4.374917540677102e-06,14120874281646.86,10508594492272.234,8893631460631.094,7790156000000.0,6947101400000.0,3.338912685611809,2.5155368173399366,47148366270920.24,35087279458198.16,29695058905057.44,26010650691294.95,23195764992691.56,0.0003769822633645,0.0002805459249521,0.0002374315676697,0.0002079722956431,0.0001854654292191,0.0002145943101325,0.0001596986518365,0.000135156129132,0.0001183866607195,0.0001055747967597
94,94,500000.0,620,17.15,2.43,0.81,,0.0018599999999999,3798.0,0.7596,620.0,0.0005571193737523,0.0111935566423498,0.0009172237397161,-5.75873491184877e-05,-1.0386388178714436e-05,14184197075693.191,10582200671095.443,8960350996891.367,7854264000000.0,7004271600000.0,3.338602259462584,2.536002276287779,47355392405571.88,35329759070605.73,29915048083799.336,26222263536815.64,23384476989649.61,0.0003817796000736,0.0002848288358199,0.0002411753870774,0.000211404124801,0.0001885258640996,0.0002171669941941,0.0001620186676367,0.0001371873559381,0.0001202526230695,0.0001072388237257
95,95,500000.0,625,17.15,2.43,0.81,,0.0018749999999999,3825.0,0.765,625.0,0.0005613637524675,0.0125478090900065,0.0009691017715323,-1.0903323676963237e-05,5.288940974741776e-06,14231773687432.482,10644465242001.086,9016775978260.87,7910100000000.001,7054065000000.001,3.3400802808487446,2.5551614148492896,47535266654895.26,35553368454987.69,30116755641819.777,26420369029541.66,23561143406325.305,0.0003862063641189,0.0002888578970823,0.0002446874397471,0.0002146556731375,0.0001914255282399,0.0002194715248815,0.0001641507987351,0.0001390498202772,0.0001219835100735,0.0001087823932677
96,96,500000.0,630,17.15,2.43,0.81,,0.0018899999999999,3954.0,0.7908000000000001,630.0,0.0005026077669754,0.0113280578555357,0.001073986239105,-1.425644204531824e-05,-9.75057965485603e-06,14656692135974.072,10989804218016.08,9311320443478.262,8176872000000.0,7291966800000.0,3.760387570955396,2.973714491111528,55114842939436.59,41325923188660.85,35014173664838.543,30748207838093.19,27420621322539.39,0.0004010080009963,0.0003006817213545,0.0002547583017392,0.0002237197223427,0.0001995086614818,0.0002276711124224,0.0001707111624101,0.0001446382760735,0.0001270162139659,0.0001132704554139
97,97,500000.0,635,17.15,2.43,0.81,,0.0019049999999999,3884.0,0.7767999999999999,635.0,0.0005711874290454,0.0123541666719016,0.0010332376815082,7.158396483117643e-05,-3.433496760186061e-07,14343135626071.3,10780493047540.672,9137094989371.98,8032112000000.0,7162872800000.0,3.3351574336701115,2.590750294474942,47836615405430.31,35954641526134.22,30473650275953.887,26788358044870.902,23889308465353.445,0.0003956603318046,0.000297383610349,0.0002520499094112,0.0002215685734181,0.0001975903109757,0.0002244674855602,0.0001687127717793,0.0001429938885791,0.0001257011040947,0.0001120976673943
98,98,500000.0,640,17.15,2.43,0.81,,0.0019199999999999,4044.0,0.8088,640.0,0.0005744637822999,0.0117453958779908,0.0008113728747499,2.6672415747621163e-05,5.1630177542512064e-06,14876578186688.092,11209231749825.916,9503726255072.465,8362992000000.0,7457944800000.0,3.342247255889526,2.7032095805634486,49721202621484.26,37464024056485.42,31763802996741.184,27951187063026.062,24926295542375.56,0.0004136983579586,0.0003117142067676,0.0002642863094505,0.0002325639683134,0.0002073957787058,0.0002345708665774,0.0001767448920193,0.0001498528274036,0.0001318659611103,0.0001175953604833
99,99,500000.0,645,17.15,2.43,0.81,,0.0019349999999999,4019.0,0.8038,645.0,0.0005155762273716,0.0115071098547747,0.0010186256543622,0.0001084997242646,5.6440071455037335e-06,14723611254408.283,11124671377603.342,9435266508695.652,8311292000000.0,7411839800000.0,3.753082274302007,3.016727532083953,55258924412633.27,41751806954717.99,35411331487101.04,31192962681748.074,27817244573346.133,0.0004125976849592,0.0003117450995561,0.0002644031447988,0.0002329061654078,0.0002077009430585,0.0002341420211965,0.0001769099303487,0.0001500441931467,0.0001321702043071,0.0001178666783284
100,100,500000.0,650,17.15,2.43,0.81,,0.0019499999999999,4239.0,0.8477999999999999,650.0,0.0005197439788844,0.0120894447438826,0.0009406023531551,-3.377444168111603e-05,8.040973722262373e-06,15465242422659.7,11717535197315.943,9942190799498.078,8766251999999.999,7817563799999.999,3.75184721559532,3.180816069381712,58023226721962.414,43962401803689.984,37301580868014.27,32889638157406.9,29330304975768.76,0.0004368686941176,0.0003310018789248,0.0002808512011994,0.000247632785758,0.0002208338411484,0.0002480546886278,0.000187943354874,0.0001594677261207,0.0001406062608567,0.0001253897805957
101,101,500000.0,655,17.15,2.43,0.81,,0.0019649999999999,4149.0,0.8298,655.0,0.0005226831057143,0.0115559824205118,0.0009388137480081,-6.327804402539691e-05,-6.080042656381341e-06,15073920245078.346,11452996568462.363,9723215813376.936,8580132000000.0,7651585800000.0,3.759448083393547,3.1195900195999653,56669620574586.97,43056945998418.71,36553925054021.75,32256560802663.64,28765739570731.28,0.0004291690508814,0.0003260778607768,0.0002768293339952,0.0002442846351187,0.000217848029055,0.0002437745347749,0.0001852171740903,0.0001572432633903,0.0001387573804691,0.0001237409869735
102,102,500000.0,660,17.15,2.43,0.81,,0.00198,4110.0,0.822,660.0,0.0005226345440405,0.0124914937577776,0.0010961310193286,1.1153152172679703e-05,-8.615383328571974e-06,14869846430962.902,11329729498005.95,9624005005513.518,8499480000000.0,7579662000000.0,3.788498143831746,3.1141454742296952,56334385602766.08,42922659173311.32,36460525099615.4,32200264203535.05,28715535417872.02,0.0004266220675356,0.0003250546429984,0.0002761166991527,0.0002438536098817,0.000217463649586,0.0002424764888481,0.0001847492535333,0.0001569347036116,0.0001385975354219,0.0001235984404377
103,103,500000.0,665,17.15,2.43,0.81,,0.001995,4050.0,0.8099999999999999,665.0,0.0005974314187824,0.0125095146941982,0.0009081411261812,8.27850837030511e-06,1.298306827151204e-06,14591297910807.55,11148814699456.775,9475808669531.16,8375400000000.0,7469010000000.0,3.339295419155909,2.7048292895162858,48724654273098.84,37229185854914.08,31642524482963.25,27967934853598.4,24941230878629.68,0.0004218484760927,0.0003223229708525,0.0002739547551851,0.0002421408806992,0.0002159362728169,0.0002398421014612,0.0001832568399785,0.0001557570737186,0.0001376692840388,0.000122770644886
104,104,500000.0,670,17.15,2.43,0.81,,0.0020099999999999,4316.0,0.8632000000000001,670.0,0.0006016842866074,0.0124416320071645,0.0007927686008231,3.614108703194727e-06,9.965340636866387e-06,15484132156600.154,11864493123523.855,10089964788927.338,8925488000000.0,7959567200000.001,3.3406223907445285,2.8836252476906767,51726638583585.84,39634791383278.28,33706762295714.55,29816685061121.6,26589908408955.73,0.0004511101555413,0.0003456566557455,0.0002939580687704,0.0002600325442357,0.0002318916915278,0.0002565751741378,0.0001965970296842,0.0001671927394174,0.0001478971255673,0.0001318916242607
105,105,500000.0,675,17.15,2.43,0.81,,0.002025,4343.0,0.8685999999999999,675.0,0.0006071448897273,0.0119830621806967,0.0008396153079052,0.0001047126391971,1.2465587157426356e-05,15515080079907.145,11922046589808.69,10144773045244.16,8981324000000.0,8009360599999.999,3.335282951832734,2.8970267719619125,51747182086833.95,39763398741944.51,33835688588015.098,29955256822086.176,26713483864260.8,0.0004554017846151,0.0003499383351746,0.0002977714407869,0.0002636216478897,0.0002350923805794,0.0002590847014722,0.0001990850105672,0.0001694065053093,0.0001499781912424,0.0001337474759619
106,106,500000.0,680,17.15,2.43,0.81,,0.0020399999999999,4325.0,0.865,680.0,0.0006090539967544,0.011067463878879,0.0008094170616141,2.3419370941166256e-05,2.538932076108677e-06,15385131880273.2,11856035213450.64,10093416260629.328,8944100000000.0,7976165000000.0,3.3494567162693607,2.897280059572997,51531833307070.93,39711276774018.28,33807460884267.28,29957875815984.79,26715819429322.605,0.0004549996586606,0.0003506302069535,0.0002985025405725,0.0002645126787794,0.0002358869836581,0.0002589256969606,0.0001995323930091,0.0001698682117472,0.0001505256727213,0.0001342357087199
107,107,500000.0,685,17.15,2.43,0.81,,0.002055,4412.0,0.8824000000000001,685.0,0.0006108353228455,0.0124358625240722,0.0009584914363871,7.403456039469848e-05,-1.0338976865223744e-05,15626192016830.178,12077593397496.46,10286953410211.33,9124016000000.0,8136610400000.0,3.36424552271607,2.9686102492446604,52570346529722.52,40631989512712.63,34607836952692.28,30695429977189.79,27373555108285.01,0.0004655953716841,0.0003598619280309,0.0003065083221405,0.0002718576359612,0.0002424370658799,0.0002649623106822,0.0002047912281273,0.0001744286095111,0.0001547095005269,0.0001379667605762
108,108,500000.0,690,17.15,2.43,0.81,,0.00207,4577.0,0.9154,690.0,0.0005485188956981,0.0119615749868384,0.0007947597863674,1.995362436879888e-05,2.2418521563244786e-06,16135264760899.0,12511704874527.637,10661811697319.797,9465236000000.0,8440903400000.001,3.773798890492566,3.454535504356896,60891244252484.445,47216657973662.82,40235533153986.1,35719897115050.3,31854271885674.934,0.0004843977036158,0.0003756146056076,0.0003200788570313,0.0002841563897788,0.0002534048423743,0.000275669467923,0.0002137612909786,0.0001821560415183,0.0001617126592313,0.0001442120339237
109,109,500000.0,695,17.15,2.43,0.81,,0.002085,4362.0,0.8724000000000001,695.0,0.0006242833214855,0.0121625039053773,0.0010882500226904,9.144957584175188e-05,3.732168263063045e-06,15305549035305.88,11907162120812.016,10151593344192.889,9020616000000.0,8044400400000.001,3.3398297347404227,2.9136674605875448,51117927774642.17,39767894107462.805,33904593305928.37,30127321542475.21,26866927654077.75,0.0004628865610023,0.0003601089586976,0.0003070151956619,0.0002728109856582,0.0002432872435933,0.0002634112300769,0.0002049243848576,0.0001747107329417,0.0001552464110324,0.0001384455663568
110,110,500000.0,700,17.15,2.43,0.81,,0.0021,4405.0,0.881,700.0,0.0005596999840236,0.0119042474609111,0.0008198529959491,5.6169435074708354e-05,-2.948470430643093e-06,15383943679101.834,12006365856576.992,10242183389185.893,9109540000000.0,8123701000000.0,3.752010112459494,3.3055209090768143,57720712253497.39,45048006107765.27,38428775649890.125,34179086199854.258,30480208302597.305,0.0004686046304568,0.0003657214790114,0.000311983368002,0.0002774823357635,0.0002474530578409,0.0002667160839732,0.0002081579958178,0.000177571830857,0.0001579348498849,0.0001408430610047
111,111,500000.0,705,17.15,2.43,0.81,,0.002115,4478.0,0.8956000000000001,705.0,0.0007038865076083,0.0116127295249877,0.0008999104966495,-2.506477459783416e-05,4.935807651592967e-06,15565200980732.78,12186859631952.469,10401818724529.834,9260504000000.0,8258327600000.0,3.004745761055084,2.691050303600933,46769471666827.26,36618414819682.49,31254820719794.41,27825460139233.65,24814174849504.207,0.0004775651997617,0.0003739122971689,0.0003191443941658,0.000284127037494,0.0002533786666085,0.0002717189204131,0.0002127438217161,0.000181582682913,0.0001616589565709,0.0001441641429923
112,112,500000.0,710,17.15,2.43,0.81,,0.00213,4476.0,0.8952,710.0,0.0006329896701799,0.0121812523661236,0.0010528465552163,-1.7945374361411898e-05,-2.746055209955339e-06,15484595436855.588,12162948245585.078,10386574956839.398,9256368000000.0,8254639200000.0,3.3649838225548274,3.012333517951081,52105413143825.35,40928124080965.41,34950656701517.68,31147528575614.18,27776727369026.92,0.0004785319983758,0.0003758806585445,0.0003209840703068,0.0002860564420171,0.0002550992700038,0.0002721881871785,0.0002138002795883,0.0001825751935221,0.0001627084179274,0.000145100031113
113,113,500000.0,715,17.15,2.43,0.81,,0.0021449999999999,4500.0,0.8999999999999999,715.0,0.0006429839072552,0.011054336142732,0.0009403170137829,-8.58107827126722e-07,-1.2135438575253142e-05,15493574142348.309,12209597705892.06,10431612197266.943,9306000000000.0,8298899999999.999,3.336008842206468,3.0024079579858203,51686700336255.445,40731325906639.72,34799950528551.363,31044898285573.387,27685203780587.25,0.0004821813717105,0.0003799795009061,0.0003246461424728,0.0002896155402176,0.0002582732008072,0.0002741032071407,0.0002160050262344,0.000184549951654,0.0001646362822558,0.0001468192609943
114,114,500000.0,720,17.15,2.43,0.81,,0.0021599999999999,4509.0,0.9018,720.0,0.0006461274401772,0.0123540617894179,0.0009420453379367,1.6310339430121574e-05,2.970661879752042e-06,15450364577516.717,12215412346096.717,10441799261466.648,9324612000000.0,8315497800000.0,3.342993758951856,3.014711771822784,51650472356169.21,40836047236024.77,34906869763311.105,31172119720647.586,27798657247977.89,0.0004842525936319,0.0003828611992424,0.0003272717837291,0.0002922563751137,0.0002606282432228,0.0002751138192467,0.000217511290905,0.0001859298051005,0.0001660368341111,0.0001480682444235
115,115,500000.0,725,17.15,2.43,0.81,,0.002175,4396.0,0.8792,725.0,0.0006488237384019,0.0119563634566061,0.0009430460742498,-2.1394293988665362e-07,-2.474850005838656e-06,14990825888645.88,11891143723386.695,10169708838587.47,9090928000000.0,8107103199999.999,3.352220135097292,2.947271942777539,50252548385656.46,39861731418872.66,34091102736789.81,30474791888319.76,27176794584351.684,0.0004731645988897,0.0003753274363941,0.0003209927351021,0.0002869425162167,0.000255889452808,0.0002686056192397,0.0002130655140026,0.0001822208436258,0.0001628912484904,0.0001452630756605
116,116,500000.0,730,17.15,2.43,0.81,,0.0021899999999999,4520.0,0.904,730.0,0.0005810448574266,0.0118959088255403,0.0009650066240975,-2.717978739429101e-05,6.310702838049785e-07,15339301309337.83,12207912757880.838,10445868301988.904,9347360000000.0,8335783999999.999,3.769072167163328,3.407241239115648,57814933628757.2,46012504194886.766,39371231478880.02,35230874412455.805,31418171465885.387,0.0004876104460794,0.0003880688999795,0.0003320564867788,0.0002971367657072,0.0002649804754919,0.0002765846427106,0.0002201222285349,0.0001883506095775,0.0001685432845832,0.0001503034455649
117,117,500000.0,735,17.15,2.43,0.81,,0.002205,4620.0,0.924,735.0,0.0006586702404547,0.0118137150761556,0.0008442068920665,-3.908999534921661e-05,-1.7969732529747252e-05,15598639153823.615,12459046825896.629,10665561987767.584,9554160000000.0,8520204000000.0,3.3476539011048825,3.093232204620912,52218845215224.99,41708576710761.26,35704610195826.1,31984020995780.227,28522694158809.426,0.0004993240962109,0.0003988233995698,0.0003414126096261,0.0003058358014446,0.000272738097207,0.0002829762107599,0.000226020605112,0.0001934848474383,0.000173322811505,0.0001545657296797
118,118,500000.0,740,17.15,2.43,0.81,,0.0022199999999999,4548.0,0.9096,740.0,0.0006643822346177,0.0118511916988996,0.0009784127534579,9.800376058789124e-05,1.177278247381578e-06,15274701990272.486,12246251492819.293,10487755223241.592,9405264000000.0,8387421600000.0,3.3414499731127303,3.03938289554334,51039652554700.96,40920236721412.76,35044309408713.51,31427219139918.133,28026149679805.133,0.0004922084079521,0.0003946203306945,0.0003379549600843,0.0003030730172515,0.0002702743029087,0.000278800050199,0.000223523544559,0.0001914267580852,0.0001716686896415,0.0001530906177161
119,119,500000.0,745,17.15,2.43,0.81,,0.0022349999999999,4670.0,0.934,745.0,0.0006676752669818,0.0119590114461374,0.0009656587608231,0.0001048058213278,-6.326393289112407e-06,15601435475730.05,12555628844686.787,10757187905198.775,9657560000000.0,8612413999999.999,3.347435663002809,3.126504909244624,52224801505495.98,42029159766131.32,36008994427484.87,32328060761589.41,28829501768144.68,0.0005062455960186,0.0004074132676929,0.0003490562782523,0.0003133748318154,0.0002794612499197,0.0002864525106488,0.0002305295183209,0.0001975089720275,0.0001773190879163,0.0001581295270479
120,120,500000.0,750,17.15,2.43,0.81,,0.00225,4713.0,0.9426,750.0,0.000599325017788,0.0112443814874371,0.0009226907868898,4.6519970016973056e-05,-9.043391221545771e-06,15661314558101.38,12651933217725.213,10844226255351.682,9746484000000.0,8691714600000.0,3.754223390013351,3.5387309674265843,58796073432380.805,47498183614870.88,40711647854438.17,36590478203190.88,32630638250640.53,0.0005116557109116,0.0004133391140894,0.0003542812624945,0.000318417983459,0.0002839586291563,0.0002892674272339,0.0002336835875334,0.000200294899741,0.0001800193936976,0.0001605376043796
121,121,500000.0,755,17.15,2.43,0.81,,0.0022649999999999,4598.0,0.9196,755.0,0.0006773241972268,0.011618252136523,0.0008192032177768,-1.3252861864037966e-06,-7.913077898272971e-06,15197438931380.018,12324385363745.742,10567903057084.607,9503203442733.328,8479631599999.999,3.344041168576916,3.075180258623332,50820861443468.36,41213252033772.56,35339502888420.78,31779103545862.133,28356237164765.742,0.0004998108833224,0.0004053223679906,0.0003475554654752,0.00031253979888,0.000278876735704,0.0002823178660488,0.0002289460870325,0.0001963164881371,0.0001765379106765,0.0001575233504145
122,122,500000.0,760,17.15,2.43,0.81,,0.00228,4679.0,0.9358,760.0,0.0006830208640167,0.0110440618247946,0.0011303729232224,-8.562176731481428e-06,-1.8294345717765411e-06,15381992373591.17,12522331172004.195,10742146931192.66,9662236549817.348,8629011800000.0,3.3381117914784046,3.123805014465491,51346810118715.58,41800941342064.8,35858487336807.77,32253625758998.902,28804606038386.293,0.0005092868382817,0.0004146054877427,0.0003556648523853,0.0003199097869555,0.0002857004496155,0.000287403212475,0.0002339721746767,0.0002007105101809,0.000180533038677,0.0001612278599268
123,123,500000.0,765,17.15,2.43,0.81,,0.0022949999999999,4802.0,0.9604,765.0,0.0006864445842893,0.011539747220212,0.000925144546781,4.684817767448527e-05,-1.8959963399098317e-07,15700992704521.926,12831845320021.504,11012501845342.283,9907635265095.623,8855848400000.0,3.343314307557593,3.2109190609783123,52493353551885.55,42900892050793.84,36818254981537.26,33124338735856.367,29607884661281.023,0.0005233072582825,0.0004276798237853,0.0003670418970296,0.0003302171744304,0.0002951615756521,0.0002950130484198,0.0002411033414225,0.0002069188745746,0.0001861590370235,0.0001663965382313
124,124,500000.0,770,17.15,2.43,0.81,,0.00231,4815.0,0.963,770.0,0.0006150545605123,0.0114968318298201,0.0009413478690831,3.433778406647465e-05,2.753475543586044e-06,15657911055962.496,12846861772521.312,11030769570794.87,9925835034739.63,8879823000000.0,3.755764363531728,3.616801082081054,58807424351333.39,48249785628453.59,41428971256321.55,37279097501769.82,33350522777869.4,0.0005252822896314,0.0004309788797707,0.0003700536984681,0.0003329860116663,0.0002978950219023,0.0002958671529656,0.0002427504156585,0.0002084340865308,0.0001875555776271,0.0001677904504923
125,125,500000.0,775,17.15,2.43,0.81,,0.002325,4979.0,0.9958,775.0,0.0007721651363681,0.0119302703503932,0.0008197891813651,1.555661551396137e-05,-5.150992068589963e-06,16102720495478.074,13263120845236.68,11394541485912.96,10254995335004.656,9182271800000.0,3.0110139534861804,2.998367694881539,48485516100972.38,39935441931781.07,34309123407661.08,30877934046634.71,27647948514502.668,0.0005437722973015,0.0004478819397894,0.0003847819380726,0.0003463006374418,0.0003100758677724,0.0003059974972394,0.0002520370260022,0.0002165287025791,0.0001948740840154,0.000174489285246
126,126,500000.0,780,17.15,2.43,0.81,,0.00234,5035.0,1.007,780.0,0.0006999956331128,0.0116909671834873,0.0009521351680207,2.157078879497924e-05,-1.1909180869945669e-06,16194333633948.63,13390725513220.207,11510625717539.863,10361356615750.17,9285547000000.0,3.342877997101392,3.366278143081101,54135681582645.89,44763561683368.07,38478617444033.42,34636751050912.176,31040450757350.832,0.0005504346224089,0.0004551418482696,0.0003912385074766,0.0003521756155794,0.0003156095627232,0.0003094933738353,0.0002559130193848,0.0002199820300607,0.0001980181024427,0.0001774580747745
127,127,500000.0,785,17.15,2.43,0.81,,0.002355,5112.0,1.0224,785.0,0.000703112395854,0.0111925373795213,0.0009955835058544,3.596770357632398e-05,-8.528881782749847e-06,16348537871474.396,13573610535424.451,11674399610598.252,10511136146639.512,9427550400000.0,3.34939337421204,3.424419785794389,54757684424770.95,45463361191485.39,39102156703641.4,35205929764995.055,31576574844810.062,0.0005593613173379,0.0004644178415107,0.0003994367934705,0.0003596360119739,0.0003225613845391,0.0003142623041134,0.0002609208331372,0.0002244129566576,0.000202051944355,0.0001812225493277
128,128,500000.0,790,17.15,2.43,0.81,,0.0023699999999999,4955.0,0.991,790.0,0.0006303437612587,0.0116093146907307,0.0009517669441785,-4.49686130727458e-05,7.288198735366362e-06,15752357322936.256,13135511016920.918,11303973795707.95,10179907898845.893,9138011000000.0,3.759853187517032,3.726014508829379,59226550891549.14,49387592966635.2,42501281907401.54,38274959162105.54,34357579785915.7,0.0005424359047605,0.0004523242240436,0.0003892548351691,0.0003505473776581,0.0003146694277484,0.0003045781850811,0.0002539804058292,0.0002185668946125,0.0001968326269242,0.0001766871299687
129,129,500000.0,795,17.15,2.43,0.81,,0.002385,5056.0,1.0112,795.0,0.0007130501867322,0.0122513539511252,0.0008118669355183,5.013545046230662e-05,4.058563462896686e-06,15977443547690.152,13381599289464.29,11522264545737.92,10378828426340.8,9324275200000.0,3.344785604684843,3.382247203457313,53441123177978.75,44758580671061.08,38539504585954.734,34714955913918.555,31187701463079.887,0.0005536689935689,0.0004637147731941,0.0003992829388275,0.0003596592578834,0.0003231156505315,0.0003106786838511,0.0002602029318811,0.0002240484826856,0.0002018145609958,0.0001813089521083
130,130,500000.0,800,17.15,2.43,0.81,,0.0024,5044.0,1.0088,800.0,0.0007184560688529,0.0123339752694332,0.0008204101187252,-2.0375645237304017e-05,7.423773534884882e-06,15843749071120.451,13328231796473.023,11481527412699.309,10345634370672.098,9302144800000.0,3.340496523095528,3.3698928924987683,52925988684875.88,44522911975129.41,38354002401948.02,34559555644447.73,31073782361731.145,0.0005525297289633,0.0004648044013451,0.0004004030359826,0.0003607902731305,0.0003243999587503,0.0003098324889486,0.0002606402823124,0.0002245270484428,0.0002023140881889,0.0001819081243338
131,131,500000.0,805,17.15,2.43,0.81,,0.002415,5257.0,1.0514,805.0,0.0006416672465547,0.0123190910196773,0.0011242593502235,1.3073712177827697e-06,-1.1400106525795444e-06,16412987406186.633,13868541756538.707,11951564546960.393,10773591587915.818,9694959400000.0,3.7636329623594,3.9570836966246734,61772460412713.72,52196100894766.82,44981302280706.125,40547844423277.92,36488268766576.11,0.0005760220491059,0.0004867234491206,0.0004194461696697,0.0003781046161262,0.0003402494769161,0.0003227221586042,0.0002726917179425,0.0002349989440581,0.0002118369220134,0.0001906281987378
132,132,500000.0,810,17.15,2.43,0.81,,0.00243,5125.0,1.025,810.0,0.0008077009716771,0.0112752776103064,0.0009556151164138,-7.650364540087372e-05,-6.880280483279963e-06,15903556179257.46,13498356945667.438,11637030762296.469,10494153438132.898,9451525000000.002,3.008539156458149,3.083752635369603,47846471492228.016,40610335418889.31,35010462713276.945,31572071532502.73,28435283050743.11,0.0005615893934569,0.0004766565417406,0.000410929038372,0.0003705715374434,0.0003337540442002,0.0003144275372831,0.0002668745960938,0.0002300745118031,0.0002074788043775,0.0001868651071384
133,133,500000.0,815,17.15,2.43,0.81,,0.0024449999999999,5334.0,1.0668,815.0,0.0007312462734034,0.0124360160774645,0.0010027577627953,0.0001110132227171,4.340635107629024e-06,16450831232385.8,14025559969767.287,12096568354724.207,10911821774905.97,9836962800000.0,3.3436067832798426,3.5669597164029363,55005110899197.05,46895957454212.125,40446168005264.16,36484841304516.3,32890935544951.48,0.0005845652115648,0.0004983854198747,0.0004298404706484,0.0003877415866894,0.000349547458065,0.0003269717433647,0.0002787677856638,0.0002404277320581,0.0002168800675556,0.000195516495835
134,134,500000.0,820,17.15,2.43,0.81,,0.0024599999999999,5573.0,1.1146,820.0,0.0007330048817948,0.0122394605845607,0.0009644105471303,1.936288607650432e-05,9.19176102464817e-07,17082124211997.2,14629369232115.629,12622878596878.695,11389997323560.611,10277726600000.0,3.356048589985412,3.740651758397741,57328438875628.87,49096873983817.625,42362993916611.79,38225384457673.21,34492549864185.56,0.0006107664254283,0.0005230688783948,0.00045132738432,0.000407246069904,0.0003674771509156,0.0003413284620548,0.0002923184516667,0.000252225524455,0.0002275905631531,0.000205365595652
135,135,500000.0,825,17.15,2.43,0.81,,0.0024749999999999,5390.0,1.078,825.0,0.0006550635102939,0.0123723496001359,0.0009672694355158,0.0001314317620193,-6.105920323076604e-06,16418857311506.842,14125162481380.805,12193198539636.035,11005588835953.324,9940238000000.002,3.7782596055293145,4.0729638547606015,62034705349015.94,53368530824939.31,46069069504505.87,41581971733946.84,37556799704747.51,0.0005907396030801,0.0005082139834326,0.0004387032013813,0.0003959737914317,0.0003576431745056,0.0003297624784019,0.0002836950525433,0.0002448927652997,0.0002210403673021,0.0001996434621846
136,136,500000.0,830,17.15,2.43,0.81,,0.0024899999999999,5561.0,1.1122,830.0,0.0007447093803421,0.0120001291082232,0.001019662836876,0.0001055394006228,-1.203599385608536e-05,16834162508350.848,14548709608786.934,12564367181925.742,11344019532838.268,10255596200000.0,3.343586190435999,3.718736561002918,56286473290477.33,48644864536603.52,42010044601054.18,37929707054034.266,34290469829007.902,0.0006093975812698,0.0005266640643271,0.0004548307625671,0.0004106541125381,0.0003712531297984,0.0003398513443995,0.0002937121770905,0.0002536518865246,0.0002290152710131,0.0002070419692372
137,137,500000.0,835,17.15,2.43,0.81,,0.002505,5408.0,1.0816,835.0,0.0007505341341129,0.0114596144631746,0.0009410300646939,0.0001013152408499,8.805949101986611e-06,16268318762378.793,14124527129085.725,12203925930330.36,11021480008486.834,9973433600000.0,3.3376230155881967,3.609973053660193,54297515126240.734,47142346830336.39,40732104065604.21,36785545342170.85,33287561527800.64,0.0005924399181332,0.0005143699123585,0.0004444277853584,0.0004013669027087,0.0003632004186661,0.0003300628393892,0.0002865681203664,0.0002476016423759,0.0002236113663008,0.0002023478799842
138,138,500000.0,840,17.15,2.43,0.81,,0.00252,5575.0,1.115,840.0,0.0007538805677995,0.0118802267874414,0.0010691539791692,6.185599939328172e-05,1.6310487851197642e-05,16660529626771.432,14536053605604.545,12566039382918.506,11351072060950.912,10281415000000.0,3.342704544508142,3.727115567126578,55691228097321.41,48589732446668.27,42004556951749.98,37943280163180.016,34367732644474.18,0.0006104233165701,0.0005325848727831,0.0004604057378792,0.0004158906835073,0.0003766996358416,0.0003397113081277,0.0002963928456055,0.0002562238879787,0.0002314504775575,0.000209639970475
139,139,500000.0,845,17.15,2.43,0.81,,0.002535,5502.0,1.1004,845.0,0.000758439176252,0.0122803427398772,0.0010064904528473,-3.7096717982935135e-05,4.327881992228374e-06,16330434708011.783,14321397273221.508,12386944661359.006,11192378063754.717,10146788400000.0,3.342390635102807,3.677966654867129,54582692035216.44,47867704127602.445,41402007833663.055,37409299624823.84,33914530524529.8,0.0006019347048792,0.0005278822147266,0.00045657889777,0.0004125475473961,0.0003740074401099,0.000334587947533,0.0002934255581758,0.0002537913083486,0.0002293162963094,0.0002078936149288
140,140,500000.0,850,17.15,2.43,0.81,,0.00255,5560.0,1.112,850.0,0.0007628826233485,0.0120537997416823,0.0008267694951344,0.0001250511018835,-9.44289032528542e-06,16389464840746.455,14447792890008.615,12502816868833.812,11300216654094.17,10253751999999.998,3.342584982218044,3.716954500226465,54783179043269.75,48292975540339.44,41791727901186.33,37771934483785.41,34274037446588.227,0.0006076628356018,0.0005356725726579,0.0004635598065799,0.0004189716846562,0.0003801725118191,0.000337426188766,0.0002974510600759,0.0002574079072064,0.0002326487823044,0.0002111041752449
