"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"
5.09191e+2	2.71425e+14	1.52757e+3	9.38523e+12	2.54595e+3	3.56313e+11	3.56434e+3	1.37694e+10
5.08936e+2	2.72151e+14	1.52681e+3	9.46361e+12	2.54468e+3	3.61349e+11	3.56255e+3	1.40444e+10
5.08681e+2	2.72877e+14	1.52604e+3	9.54246e+12	2.54341e+3	3.66444e+11	3.56077e+3	1.43241e+10
5.08426e+2	2.73603e+14	1.52528e+3	9.62177e+12	2.54213e+3	3.71599e+11	3.55898e+3	1.46088e+10
5.08171e+2	2.74330e+14	1.52451e+3	9.70155e+12	2.54085e+3	3.76814e+11	3.55720e+3	1.48985e+10
5.07915e+2	2.75056e+14	1.52375e+3	9.78180e+12	2.53958e+3	3.82090e+11	3.55541e+3	1.51932e+10
5.07660e+2	2.75783e+14	1.52298e+3	9.86252e+12	2.53830e+3	3.87427e+11	3.55362e+3	1.54931e+10
5.07404e+2	2.76510e+14	1.52221e+3	9.94372e+12	2.53702e+3	3.92826e+11	3.55183e+3	1.57981e+10
5.07148e+2	2.77237e+14	1.52144e+3	1.00254e+13	2.53574e+3	3.98287e+11	3.55004e+3	1.61084e+10
5.06892e+2	2.77963e+14	1.52068e+3	1.01075e+13	2.53446e+3	4.03811e+11	3.54824e+3	1.64241e+10
5.06635e+2	2.78691e+14	1.51991e+3	1.01902e+13	2.53318e+3	4.09399e+11	3.54645e+3	1.67452e+10
5.06379e+2	2.79597e+14	1.51914e+3	1.02732e+13	2.53189e+3	4.15051e+11	3.54465e+3	1.70719e+10
5.06122e+2	2.80325e+14	1.51837e+3	1.03568e+13	2.53061e+3	4.20767e+11	3.54286e+3	1.74041e+10
5.05865e+2	2.81053e+14	1.51760e+3	1.04409e+13	2.52933e+3	4.26549e+11	3.54106e+3	1.77420e+10
5.05608e+2	2.81781e+14	1.51683e+3	1.05254e+13	2.52804e+3	4.32396e+11	3.53926e+3	1.80857e+10
5.05351e+2	2.82509e+14	1.51605e+3	1.06104e+13	2.52676e+3	4.38309e+11	3.53746e+3	1.84352e+10
5.05094e+2	2.83237e+14	1.51528e+3	1.06959e+13	2.52547e+3	4.44290e+11	3.53566e+3	1.87907e+10
5.04836e+2	2.83965e+14	1.51451e+3	1.07819e+13	2.52418e+3	4.50338e+11	3.53385e+3	1.91521e+10
5.04579e+2	2.84694e+14	1.51374e+3	1.08684e+13	2.52289e+3	4.56454e+11	3.53205e+3	1.95197e+10
5.04321e+2	2.85422e+14	1.51296e+3	1.09554e+13	2.52160e+3	4.62639e+11	3.53025e+3	1.98934e+10
5.04063e+2	2.86150e+14	1.51219e+3	1.10428e+13	2.52031e+3	4.68893e+11	3.52844e+3	2.02734e+10
5.03805e+2	2.86879e+14	1.51141e+3	1.11308e+13	2.51902e+3	4.75217e+11	3.52663e+3	2.06598e+10
5.03546e+2	2.87607e+14	1.51064e+3	1.12192e+13	2.51773e+3	4.81611e+11	3.52482e+3	2.10527e+10
5.03288e+2	2.88336e+14	1.50986e+3	1.13082e+13	2.51644e+3	4.88076e+11	3.52302e+3	2.14521e+10
5.03029e+2	2.89064e+14	1.50909e+3	1.13976e+13	2.51515e+3	4.94613e+11	3.52120e+3	2.18581e+10
5.02770e+2	2.89793e+14	1.50831e+3	1.14875e+13	2.51385e+3	5.01222e+11	3.51939e+3	2.22709e+10
5.02512e+2	2.90522e+14	1.50753e+3	1.15779e+13	2.51256e+3	5.07904e+11	3.51758e+3	2.26905e+10
5.02252e+2	2.91061e+14	1.50676e+3	1.16688e+13	2.51126e+3	5.14659e+11	3.51577e+3	2.31170e+10
5.01993e+2	2.91789e+14	1.50598e+3	1.17603e+13	2.50997e+3	5.21489e+11	3.51395e+3	2.35505e+10
5.01734e+2	2.92518e+14	1.50520e+3	1.18522e+13	2.50867e+3	5.28393e+11	3.51214e+3	2.39912e+10
5.01474e+2	2.93246e+14	1.50442e+3	1.19446e+13	2.50737e+3	5.35372e+11	3.51032e+3	2.44390e+10
5.01214e+2	2.93974e+14	1.50364e+3	1.20375e+13	2.50607e+3	5.42427e+11	3.50850e+3	2.48942e+10
5.00955e+2	2.94702e+14	1.50286e+3	1.21309e+13	2.50477e+3	5.49559e+11	3.50668e+3	2.53568e+10
5.00695e+2	2.95431e+14	1.50208e+3	1.22249e+13	2.50347e+3	5.56768e+11	3.50486e+3	2.58269e+10
5.00434e+2	2.96160e+14	1.50130e+3	1.23193e+13	2.50217e+3	5.64054e+11	3.50304e+3	2.63047e+10
5.00174e+2	2.96888e+14	1.50052e+3	1.24143e+13	2.50087e+3	5.71419e+11	3.50122e+3	2.67902e+10
4.99914e+2	2.97617e+14	1.49974e+3	1.25097e+13	2.49957e+3	5.78864e+11	3.49940e+3	2.72835e+10
4.99653e+2	2.98345e+14	1.49896e+3	1.26057e+13	2.49826e+3	5.86387e+11	3.49757e+3	2.77847e+10
4.99392e+2	2.99074e+14	1.49818e+3	1.27022e+13	2.49696e+3	5.93991e+11	3.49575e+3	2.82940e+10
4.99131e+2	2.99998e+14	1.49739e+3	1.27992e+13	2.49566e+3	6.01677e+11	3.49392e+3	2.88114e+10
4.98870e+2	3.00727e+14	1.49661e+3	1.28967e+13	2.49435e+3	6.09443e+11	3.49209e+3	2.93371e+10
4.98609e+2	3.01456e+14	1.49583e+3	1.29947e+13	2.49305e+3	6.17292e+11	3.49026e+3	2.98712e+10
4.98348e+2	3.02185e+14	1.49504e+3	1.30932e+13	2.49174e+3	6.25224e+11	3.48843e+3	3.04138e+10
4.98086e+2	3.02914e+14	1.49426e+3	1.31923e+13	2.49043e+3	6.33240e+11	3.48660e+3	3.09649e+10
4.97825e+2	3.03643e+14	1.49347e+3	1.32919e+13	2.48912e+3	6.41339e+11	3.48477e+3	3.15248e+10
4.97563e+2	3.04372e+14	1.49269e+3	1.33919e+13	2.48781e+3	6.49524e+11	3.48294e+3	3.20936e+10
