,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
639,639,0.02,6890,100000.0,17.15,2.43,0.81,1.80763428875468,,990.0,0.6536178049409681,6890.0,1.0533732223857442,0.0002748009437569,0.0005009307929198,2.419587973609998e-07,-1.5414764034328173e-07,5013248563897.226,439102935804.5197,2309945291021.9,6.540891541171994,4.2752431714977845,32791115125388.008,2872124678507.5723,15109101614615.225,0.0009488823493754,8.31111843016118e-05,0.0004372147693729,0.0001295217276948,1.1344614207013146e-05,5.96794874940584e-05
640,640,0.02,6900,100000.0,17.15,2.43,0.81,1.80879698312742,,955.0,0.6298575269103417,6900.0,0.983762823023426,0.0004104402311508,0.0004049502972806,8.488418027149535e-06,1.1567038790943676e-05,4831007231402.321,415528411840.4604,2214555913862.194,7.013885703460552,4.417748703213466,33884132553647.285,2914468787189.4736,15532642063752.06,0.0009135260699526,7.857492627103662e-05,0.0004187645482148,0.0001245249379799,1.0710737375222907e-05,5.7082803775236656e-05
641,641,0.02,6910,100000.0,17.15,2.43,0.81,1.80996060028449,,953.0,0.6261613547457175,6910.0,0.987336009837236,0.000372721568435,0.0004917166123375,2.356330263654833e-07,2.902858555389897e-06,4802657590899.653,405888974881.0495,2190208939824.7136,6.998630588931043,4.3822720109298805,33612026323832.18,2840666995312.3765,15328463282407.469,0.0009071951049702,7.667015276525067e-05,0.0004137181948669,0.0001235073546737,1.0438027827294668e-05,5.632442188945814e-05
642,642,0.02,6920,100000.0,17.15,2.43,0.81,1.81112512815564,,929.0,0.6065232540069774,6920.0,0.8056745995727397,0.0004265765550744,0.00037692081952,-4.962256667847029e-06,-3.311961151250433e-06,4652033358233.517,386287081759.6671,2110522678905.953,8.589075544481322,5.209474048150563,39956665949314.81,3317848927091.0127,18127438727464.324,0.0008778484755163,7.289318448979334e-05,0.000398260066846,0.0001193572753852,9.910972266300978e-06,5.414970555771808e-05
643,643,0.02,6930,100000.0,17.15,2.43,0.81,1.81229055458748,,990.0,0.6406452190396338,6930.0,1.0824886129867082,0.0004018727272244,0.0004268001118261,1.0720291382129514e-05,1.2820554361340792e-05,4913748830033.991,400760161199.7262,2217643018514.498,6.401914917958673,4.101356184888734,31457401938096.586,2565632454508.05,14197161922934.867,0.0009263377978843,7.555113174210862e-05,0.0004180690998506,0.0001257758707374,1.0258147083886256e-05,5.676439543135595e-05
644,644,0.02,6940,100000.0,17.15,2.43,0.81,1.81345686734323,,928.0,0.5937513450182808,6940.0,1.0102819961475689,0.0004193531236047,0.0004117296853217,3.279057478047481e-06,-9.567801789954729e-06,4554072816290.214,364697701513.87445,2044552297968.3257,6.869369172630782,4.078697185676642,31283607414139.84,2505243148108.7114,14044784527495.04,0.0008576439279257,6.868154767157094e-05,0.0003850394876003,0.0001162960731241,9.313182347842643e-06,5.221115540799569e-05
645,645,0.02,6950,100000.0,17.15,2.43,0.81,1.81626299505276,,968.0,0.6107214023162086,6950.0,1.2450360222355812,0.0002877712832493,0.0003892678378323,-1.172847037467403e-06,-2.21901871874786e-05,4684233155765.32,368201209211.2798,2091916228965.6133,5.582167805490969,3.4091493501338377,26148175515526.54,2055360936002.051,11677427425115.924,0.0008812367360929,6.926906092013496e-05,0.0003935486062483,0.0001193456483495,9.381089833736646e-06,5.329817930423253e-05
646,646,0.02,6960,100000.0,17.15,2.43,0.81,1.81743545042217,,932.0,0.5849330115633361,6960.0,0.8926942326852441,0.0003795116935849,0.000442825432621,3.4667235811434595e-06,4.753966167230744e-06,4486436198690.788,346131960373.81494,1992978676641.18,7.796622567017337,4.56050191814812,34979049712196.08,2698660253416.4365,15538502525884.97,0.000843138741591,6.504879431455954e-05,0.0003745417206493,0.0001140446372632,8.79863038675866e-06,5.066126434992946e-05
647,647,0.02,6970,100000.0,17.15,2.43,0.81,1.81860462757994,,956.0,0.6143037989967219,6970.0,1.008142975372721,0.0003226012873565,0.0004035135968134,-1.4554890434760014e-06,-3.914425297648478e-06,4711710138304.857,356783992537.397,2081914159672.3352,6.913701895728749,4.247113339677008,32575359315322.656,2466698165571.4727,14393733872471.146,0.000884589567767,6.698361921270808e-05,0.0003908643555257,0.0001194981413067,9.04873659557452e-06,5.280139591323514e-05
648,648,0.02,6980,100000.0,17.15,2.43,0.81,1.81977877461054,,905.0,0.590398546474425,6980.0,0.9715145561640384,0.0003517343514539,0.0004414954668655,2.321604496921217e-07,-3.566607908814063e-06,4528356851458.84,336433757549.519,1990194715015.5627,7.184658176980975,4.241811744605159,32534696081121.57,2417161547190.586,14298868733020.885,0.0008492591165638,6.309560953145828e-05,0.0003732459832355,0.0001145868278918,8.513215353362155e-06,5.036045231447057e-05
