,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
36,36,2.5,0.012,1200,1,100000.0,1900,,25000.0,25.0,,0.47347119376860286,0.010981176139389032,0.005976430684257488
37,37,2.5,0.012,1200,1,100000.0,1950,,25000.0,25.0,,0.48393009540809834,0.010399770767754267,0.005893624853946397
38,38,2.5,0.012,1200,1,100000.0,2000,,25000.0,25.0,,0.4987822033894105,0.011366384921394152,0.006166571546678819
39,39,2.5,0.012,2400,1,100000.0,100,,25000.0,25.0,,0.024962347231665127,0.02768477919413345,0.025545305357042917
40,40,2.5,0.012,2400,1,100000.0,150,,25000.0,25.0,,0.037445964734383,0.02400238777084937,0.020743573800975502
41,41,2.5,0.012,2400,1,100000.0,200,,25000.0,25.0,,0.049884539056336046,0.0208296055727888,0.018850314699745647
42,42,2.5,0.012,2400,1,100000.0,250,,25000.0,25.0,,0.06244412573651204,0.01868909138253548,0.016942303825180825
43,43,2.5,0.012,2400,1,100000.0,300,,25000.0,25.0,,0.07478971239784826,0.016858742958102874,0.015001931492749006
44,44,2.5,0.012,2400,1,100000.0,350,,25000.0,25.0,,0.08741047467933782,0.01697848240288839,0.013904411356804076
45,45,2.5,0.012,2400,1,100000.0,400,,25000.0,25.0,,0.09984335195747462,0.01564411396628067,0.012813586439044976
46,46,2.5,0.012,2400,1,100000.0,450,,25000.0,25.0,,0.11197685484730611,0.015007070188330567,0.012277325164895502
47,47,2.5,0.012,2400,1,100000.0,500,,25000.0,25.0,,0.12470151856764032,0.0150134364559746,0.012038478110325346
48,48,2.5,0.012,2400,1,100000.0,550,,25000.0,25.0,,0.1373508333165674,0.013541809477416691,0.011160199104927156
49,49,2.5,0.012,2400,1,100000.0,600,,25000.0,25.0,,0.14989554461753585,0.014244874487609027,0.010652607637569058
50,50,2.5,0.012,2400,1,100000.0,650,,25000.0,25.0,,0.16165213559561664,0.013887791317041704,0.010223808566256778
51,51,2.5,0.012,2400,1,100000.0,700,,25000.0,25.0,,0.17474599307529814,0.013830856082630948,0.009558285712036369
52,52,2.5,0.012,2400,1,100000.0,750,,25000.0,25.0,,0.18717281846479492,0.012916234028129362,0.009072108971880209
53,53,2.5,0.012,2400,1,100000.0,800,,25000.0,25.0,,0.1995416454918768,0.013134961218678298,0.009319909683647503
54,54,2.5,0.012,2400,1,100000.0,850,,25000.0,25.0,,0.2123627974363771,0.011968928500276643,0.009167063624454868
55,55,2.5,0.012,2400,1,100000.0,900,,25000.0,25.0,,0.2247254119622255,0.012192807738407436,0.008682589842424622
56,56,2.5,0.012,2400,1,100000.0,950,,25000.0,25.0,,0.23717050894229885,0.01269165355470201,0.00875151932305395
57,57,2.5,0.012,2400,1,100000.0,1000,,25000.0,25.0,,0.24973481843662168,0.012216411340730872,0.008541229866989478
58,58,2.5,0.012,2400,1,100000.0,1050,,25000.0,25.0,,0.2618945887928419,0.011958001506686043,0.007806079838334581
59,59,2.5,0.012,2400,1,100000.0,1100,,25000.0,25.0,,0.27373121204168166,0.011760385865299526,0.007790420240467688
60,60,2.5,0.012,2400,1,100000.0,1150,,25000.0,25.0,,0.2867209841579097,0.011655173836913758,0.007961604531110191
61,61,2.5,0.012,2400,1,100000.0,1200,,25000.0,25.0,,0.2997154778252309,0.011648283272203791,0.007537797227016567
62,62,2.5,0.012,2400,1,100000.0,1250,,25000.0,25.0,,0.3104539815451943,0.011793890372263792,0.007476745027587829
63,63,2.5,0.012,2400,1,100000.0,1300,,25000.0,25.0,,0.3242850905710384,0.011004486889689883,0.007289989455205661
64,64,2.5,0.012,2400,1,100000.0,1350,,25000.0,25.0,,0.33654922276588195,0.010989039183338907,0.007381071107589632
65,65,2.5,0.012,2400,1,100000.0,1400,,25000.0,25.0,,0.3493720122635437,0.011472262944315416,0.007452923855549193
66,66,2.5,0.012,2400,1,100000.0,1450,,25000.0,25.0,,0.3617029927437585,0.011314647002346292,0.007005092883425964
67,67,2.5,0.012,2400,1,100000.0,1500,,25000.0,25.0,,0.3745874532505269,0.01158462895827632,0.007044485611743744
68,68,2.5,0.012,2400,1,100000.0,1550,,25000.0,25.0,,0.38699081637622607,0.011402978816968983,0.006560976641735044
69,69,2.5,0.012,2400,1,100000.0,1600,,25000.0,25.0,,0.3994808650025448,0.011891246613537876,0.006742173611950361
70,70,2.5,0.012,2400,1,100000.0,1650,,25000.0,25.0,,0.37896711710489805,0.01125621385404181,0.006250019501741011
71,71,2.5,0.012,2400,1,100000.0,1700,,25000.0,25.0,,0.4232079826841471,0.011102861468323927,0.0067847891722077084
72,72,2.5,0.012,2400,1,100000.0,1750,,25000.0,25.0,,0.4369195050355472,0.01095523688043888,0.006467076083976883
73,73,2.5,0.012,2400,1,100000.0,1800,,25000.0,25.0,,0.41304236251792253,0.01031755893402034,0.006114173959485922
74,74,2.5,0.012,2400,1,100000.0,1850,,25000.0,25.0,,0.4616089431219592,0.011164556136967648,0.006232531890713053
75,75,2.5,0.012,2400,1,100000.0,1900,,25000.0,25.0,,0.4742996437678926,0.01042892823134897,0.006059317559547752
76,76,2.5,0.012,2400,1,100000.0,1950,,25000.0,25.0,,0.4865011009851656,0.010605498418276864,0.005996185485095416
77,77,2.5,0.012,2400,1,100000.0,2000,,25000.0,25.0,,0.49942068895980185,0.010406500236271621,0.005690144332046352
78,78,2.5,0.01,1200,1,100000.0,100,,25000.0,25.0,,0.02498118146851169,0.026208433113271257,0.02529396412733726
79,79,2.5,0.01,1200,1,100000.0,150,,25000.0,25.0,,0.03735413376638519,0.022453400235163287,0.02116172596020192
80,80,2.5,0.01,1200,1,100000.0,200,,25000.0,25.0,,0.04993205696009184,0.02016729129134693,0.019519473086367842
81,81,2.5,0.01,1200,1,100000.0,250,,25000.0,25.0,,0.06243466027685862,0.0193637352789786,0.01684087219983256
82,82,2.5,0.01,1200,1,100000.0,300,,25000.0,25.0,,0.07482471943079005,0.016672037262393188,0.014786510462111482
83,83,2.5,0.01,1200,1,100000.0,350,,25000.0,25.0,,0.08739878204965734,0.01595003011722146,0.014001850895589838
84,84,2.5,0.01,1200,1,100000.0,400,,25000.0,25.0,,0.09191699663495949,0.01524412621167962,0.013587734051716068
85,85,2.5,0.01,1200,1,100000.0,450,,25000.0,25.0,,0.1122819486915816,0.015114665640451571,0.012320634816224595
86,86,2.5,0.01,1200,1,100000.0,500,,25000.0,25.0,,0.12482429887149848,0.015349318468810604,0.011523597729423312
87,87,2.5,0.01,1200,1,100000.0,550,,25000.0,25.0,,0.137269820036785,0.014064621718029729,0.011145429620997942
88,88,2.5,0.01,1200,1,100000.0,600,,25000.0,25.0,,0.14964021279380546,0.014113978417540776,0.010892958753166935
89,89,2.5,0.01,1200,1,100000.0,650,,25000.0,25.0,,0.16228643668625864,0.013114409360820948,0.009727208996250503
90,90,2.5,0.01,1200,1,100000.0,700,,25000.0,25.0,,0.17467786048246836,0.013065700922055048,0.010164505374100286
91,91,2.5,0.01,1200,1,100000.0,750,,25000.0,25.0,,0.18651451722756465,0.013799134240033714,0.009633202868746023
92,92,2.5,0.01,1200,1,100000.0,800,,25000.0,25.0,,0.19976020651218815,0.012853257315187548,0.00962391865313788
93,93,2.5,0.01,1200,1,100000.0,850,,25000.0,25.0,,0.21221562735579624,0.013108792953298568,0.009049983228199396
94,94,2.5,0.01,1200,1,100000.0,900,,25000.0,25.0,,0.22473975231773125,0.01272331113714932,0.008806114110761935
95,95,2.5,0.01,1200,1,100000.0,950,,25000.0,25.0,,0.2181942236611213,0.012346923423972407,0.008369039398686145
96,96,2.5,0.01,1200,1,100000.0,1000,,25000.0,25.0,,0.2494997552212084,0.01215145364199895,0.00804162251566354
97,97,2.5,0.01,1200,1,100000.0,1050,,25000.0,25.0,,0.2620181217971975,0.0116744205828227,0.007856295290842035
98,98,2.5,0.01,1200,1,100000.0,1100,,25000.0,25.0,,0.274628312941104,0.011756814516577929,0.007725739372574013
99,99,2.5,0.01,1200,1,100000.0,1150,,25000.0,25.0,,0.2853604985143221,0.011148645525250932,0.00735926803301207
100,100,2.5,0.01,1200,1,100000.0,1200,,25000.0,25.0,,0.299733302258403,0.0120970685193163,0.007333747256276901
101,101,2.5,0.01,1200,1,100000.0,1250,,25000.0,25.0,,0.31178561624251694,0.011149392228606869,0.006961535393789468
102,102,2.5,0.01,1200,1,100000.0,1300,,25000.0,25.0,,0.3238642403632497,0.010963813523677613,0.007286479250968917
103,103,2.5,0.01,1200,1,100000.0,1350,,25000.0,25.0,,0.3097460349287968,0.011284662805355493,0.007473885405653523
104,104,2.5,0.01,1200,1,100000.0,1400,,25000.0,25.0,,0.3497657027541692,0.011079032945589535,0.00702858382548128
105,105,2.5,0.01,1200,1,100000.0,1450,,25000.0,25.0,,0.361918588165338,0.011092542675216121,0.006880646183573645
106,106,2.5,0.01,1200,1,100000.0,1500,,25000.0,25.0,,0.37450888130668153,0.011080574503663008,0.006728068273526922
107,107,2.5,0.01,1200,1,100000.0,1550,,25000.0,25.0,,0.3861851789441175,0.01135476242729118,0.006479389936585489
108,108,2.5,0.01,1200,1,100000.0,1600,,25000.0,25.0,,0.3995842166809069,0.01077080322642647,0.006603689535038121
109,109,2.5,0.01,1200,1,100000.0,1650,,25000.0,25.0,,0.40833109463875417,0.011558469289309972,0.006418150629304312
110,110,2.5,0.01,1200,1,100000.0,1700,,25000.0,25.0,,0.424600044928539,0.011519140067949437,0.006485205302099923
111,111,2.5,0.01,1200,1,100000.0,1750,,25000.0,25.0,,0.43648430880183753,0.01025027926901402,0.006486686957183919
112,112,2.5,0.01,1200,1,100000.0,1800,,25000.0,25.0,,0.4495799954378157,0.0103370688564499,0.006179831023308426
113,113,2.5,0.01,1200,1,100000.0,1850,,25000.0,25.0,,0.4619141492429719,0.010552089046402528,0.005988350014240992
