
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.4800E+03          0.8164E+19        0.713327E+15     0.697     30.710  0.033315
     0.4820E+03          0.8067E+19        0.702788E+15     0.690     30.079  0.033483
     0.4839E+03          0.7969E+19        0.692205E+15     0.683     29.452  0.033653
     0.4859E+03          0.7870E+19        0.681576E+15     0.676     28.830  0.033827
     0.4878E+03          0.7769E+19        0.670903E+15     0.668     28.214  0.034003
     0.4897E+03          0.7667E+19        0.660184E+15     0.661     27.602  0.034183
     0.4917E+03          0.7564E+19        0.649421E+15     0.654     26.995  0.034367
     0.4936E+03          0.7460E+19        0.638613E+15     0.646     26.392  0.034554
     0.4956E+03          0.7354E+19        0.627760E+15     0.639     25.795  0.034745
     0.4975E+03          0.7247E+19        0.616863E+15     0.632     25.202  0.034940
     0.4994E+03          0.7138E+19        0.605920E+15     0.624     24.614  0.035140
     0.5014E+03          0.7028E+19        0.594933E+15     0.617     24.030  0.035343
     0.5033E+03          0.6917E+19        0.583901E+15     0.609     23.451  0.035552
     0.5053E+03          0.6805E+19        0.572824E+15     0.602     22.876  0.035765
     0.5072E+03          0.6692E+19        0.561703E+15     0.594     22.305  0.035983
     0.5091E+03          0.6577E+19        0.550537E+15     0.587     21.739  0.036207
     0.5111E+03          0.6460E+19        0.539327E+15     0.579     21.178  0.036436
     0.5130E+03          0.6343E+19        0.528071E+15     0.571     20.620  0.036672
     0.5149E+03          0.6224E+19        0.516772E+15     0.564     20.067  0.036913
     0.5169E+03          0.6104E+19        0.505427E+15     0.556     19.518  0.037162
     0.5188E+03          0.5982E+19        0.494039E+15     0.548     18.973  0.037417
     0.5208E+03          0.5860E+19        0.482606E+15     0.540     18.432  0.037680
     0.5227E+03          0.5736E+19        0.471128E+15     0.532     17.895  0.037951
     0.5246E+03          0.5610E+19        0.459606E+15     0.524     17.362  0.038231
     0.5266E+03          0.5483E+19        0.448040E+15     0.516     16.832  0.038520
     0.5285E+03          0.5355E+19        0.436430E+15     0.508     16.307  0.038818


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    1.0000
      maximum K                            2.5000
      order of spectrum k                  3.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.2017E-04
      sigmax (m)                       0.8266E-04
