,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
76,76,2.25,0.02,480,1,100000.0,,62.870000000000005,0.06287,48.0,0.0021297776723173,0.002096510377843,0.000648790940104,1364279000000.0,961911000000.0,792162000000.0,2.3027369372652027,1.44436007340235,31342613592831.0,22098709123055.96,18198936924869.61,2.8392220662845e-05,2.0018478163201e-05,1.6485805546166e-05,1.577392631475e-05,1.1121708415467e-05,9.159053989212562e-06
77,77,2.25,0.02,485,1,100000.0,,63.57000000000001,0.0635699999999999,48.5,0.0020269692951148,0.0022809679444269,0.0006808488853152,1378580978271.1558,972621000000.0,800982000000.0,2.429150822727029,1.5449680864424995,33504225515268.48,23638011722570.25,19466597889175.496,2.8991927768147e-05,2.045448052906e-05,1.6844866318047e-05,1.613434996516e-05,1.1383159817817e-05,9.374366908794488e-06
78,78,2.25,0.02,490,1,100000.0,,63.83,0.0638299999999999,49.0,0.0021859827042112,0.002323676632135,0.000721003209159,1378572101872.9854,975181081584.1012,804258000000.0,2.2614658631668805,1.4432474223275198,31170619340761.668,22049625290597.168,18184917521326.758,2.9296036386813e-05,2.0723573624479e-05,1.7091287137155998e-05,1.6334141034672998e-05,1.1554524641328e-05,9.52932645482874e-06
79,79,2.25,0.02,495,1,100000.0,,64.27000000000001,0.06427,49.5,0.0020421258781487,0.0021220195387936,0.0006268516445596,1382388884932.369,980007923092.8708,809802000000.0,2.468609298349912,1.589185447593523,34181924674802.52,24232368599743.94,20023736639678.395,2.9685684395424e-05,2.1044878345773e-05,1.7389843666138e-05,1.6574154289688e-05,1.1749806946148996e-05,9.70912269217008e-06
80,80,2.25,0.02,500,1,100000.0,,65.3,0.0653,50.0,0.0021385495607847,0.0022109565290697,0.0006748076304143,1403950000000.0,993787906964.262,822780000000.0,2.383046360119311,1.5559779547402144,33453526026914.6,23680123658863.867,19605322229726.69,3.0464471060138e-05,2.1564317056608e-05,1.7853596993382e-05,1.7035251121159002e-05,1.2058425553834e-05,9.983449494262248e-06
81,81,2.25,0.02,505,1,100000.0,,64.61,0.06461,50.5,0.0020422937775521,0.0020937825669985,0.0007069717359785,1384730526618.171,982072000000.0,814086000000.0,2.510466106725705,1.6188196102327033,34694767549564.363,24606058075537.09,20397127088932.062,3.035686286116e-05,2.1529549938205e-05,1.7846863764565e-05,1.6996126665025e-05,1.2053912140536995e-05,9.99205874807822e-06
82,82,2.25,0.02,510,1,100000.0,,65.07000000000001,0.0650699999999999,51.0,0.0021011998383414,0.0020168271299165,0.0007311179070713,1388832370165.381,989064000000.0,819882000000.0,2.536542959206254,1.6376475752699178,34953403464848.77,24892243144102.76,20634359448400.965,3.0751643663377004e-05,2.1899938640292e-05,1.8153896504449e-05,1.7245677755794e-05,1.2281596678093e-05,1.0180797246314998e-05
83,83,2.25,0.02,515,1,100000.0,,63.83,0.06383,51.5,0.0022481779835936,0.0020666951524814,0.0006804482697686,1359579000000.0,970216000000.0,804258000000.0,2.3174558554576614,1.4784658150365522,31491321860278.57,22472680388555.6,18628669269460.56,3.0403536748346e-05,2.1696420590367e-05,1.7985190752541e-05,1.7070187729761e-05,1.218154241748e-05,1.0097857530279316e-05
84,84,2.25,0.02,520,1,100000.0,,64.38,0.06438,52.0,0.0022937860566355,0.0021225227711108,0.0006848724339512,1369151499944.0847,978576000000.0,811188000000.0,2.2880733489686405,1.4737026843256853,31340823869464.688,22400280801750.414,18568653822503.64,3.0922844501087e-05,2.2101537690847e-05,1.8321011506885e-05,1.7383710890263e-05,1.2424689502105998e-05,1.0299413666220589e-05
85,85,2.25,0.02,525,1,100000.0,,63.78,0.06378,52.5,0.002107706211035,0.0021191809782729,0.0007034539565118,1350748645723.8772,967628656401.3734,803628000000.0,2.51118101638788,1.6033811912215206,33956804211690.29,24325456063984.22,20202603009391.164,3.0802819432197e-05,2.2066052684862e-05,1.8326139547145e-05,1.7342581594615998e-05,1.2423613364373e-05,1.0317970116672202e-05
86,86,2.25,0.02,530,1,100000.0,,64.83,0.06483,53.0,0.0022836125219657,0.0022002952331633,0.0006402200235097,1367913000000.0,981646673966.899,816858000000.0,2.4196933075710247,1.570932129655351,33146667935727.914,23786831715315.637,19793744833657.414,3.1495974058971e-05,2.2602254805923e-05,1.8808022423838004e-05,1.7762358804283997e-05,1.2746688160746e-05,1.0606906205399e-05
87,87,2.25,0.02,535,1,100000.0,,64.09,0.06409,53.5,0.0024070705777273,0.0020501308855389,0.0006797471178088,1352299000000.0,968551622966.2885,807534000000.0,2.268153633989762,1.4566661359236803,30735655467989.664,22013673741128.305,18353993312638.367,3.143831849237e-05,2.2516939226542e-05,1.8773593033356e-05,1.7757355789490998e-05,1.2718278849203e-05,1.0603918623107e-05
88,88,2.25,0.02,540,1,100000.0,,64.33,0.06433,54.0,0.0024509773178362,0.0019953303721218,0.0006411603624321,1351755306842.0396,970281437377.9113,810558000000.0,2.2337204008157263,1.4353578365208246,30160929158003.01,21649324806017.02,18085508740162.395,3.1728732675076e-05,2.2774684286665003e-05,1.9025616522066e-05,1.7952384458304e-05,1.2886108386920002e-05,1.0764854236635002e-05
89,89,2.25,0.02,545,1,100000.0,,62.78,0.06278,54.5,0.0025516620527162,0.0021392806596236,0.000673316740521,1313631073230.6953,945051536191.224,791028000000.0,2.207911700186137,1.3831090752443704,28940666755469.51,20820473977058.227,17427174348079.066,3.0972548160102e-05,2.2282248657892e-05,1.8650710481241e-05,1.7636739203428e-05,1.268821042472e-05,1.0620298821265e-05
