,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
33,33,2,25,3000,1000000.0,315,17.15,2.43,0.81,,11238.25,1.123825,315.0,0.000374745154005,0.024381132611709,0.0013938188222638,-0.0017977244009722,-5.936648968905957e-06,26178501658155.883,17531670000000.0,14160195000000.0,4.216375668951684,4.738300389138846,110374484100204.16,73917486070565.97,59702584903149.445,0.0003524019422902,0.0002360026039789,0.0001906174878291,0.0001913129706959,0.0001281217662018,0.0001034829650091
34,34,2,25,3000,1000000.0,320,17.15,2.43,0.81,,11383.5,1.13835,320.0,0.000367162963343,0.0230566846122555,0.0014050617574082,-0.0019154979903009,-1.3470073512082402e-06,26416135655412.17,17758260000000.0,14343210000000.0,4.358105387849828,4.960807510738153,115118692989016.23,77388597167515.2,62506174635300.734,0.0003614620064285,0.0002429930090461,0.0001962635842295,0.0001961283533455,0.0001318473806129,0.0001064921151104
35,35,2,25,3000,1000000.0,325,17.15,2.43,0.81,,11528.0,1.1528,325.0,0.0004119888935036,0.0227594706689672,0.0014377328381307,-0.0018639587842401,3.571135802217612e-06,26744960000000.0,17983680000000.0,14525280000000.0,3.956249044169009,4.561021552753752,105815700023887.05,71151936222958.55,57468871564697.28,0.0003718327716396,0.0002500254843783,0.0002019436604594,0.0002015923900548,0.0001355535036575,0.0001094855221849
36,36,2,25,3000,1000000.0,330,17.15,2.43,0.81,,11694.25,1.169425,330.0,0.0003909715467357,0.0224965658349677,0.0014626229126207,-0.0018808544918931,1.4777270729179042e-06,27047268392368.707,18243030000000.0,14734755000000.0,4.23058091749709,4.946561732739451,114407493259357.69,77166363030735.44,62326677832517.08,0.0003821784134179,0.0002577743585855,0.0002082023665499,0.0002070223912342,0.000139633904584,0.0001127812306255
37,37,2,25,3000,1000000.0,335,17.15,2.43,0.81,,11899.25,1.189925,335.0,0.000394474982741,0.0232232626855587,0.0014605733305162,-0.0018478807722069,3.7778487271831377e-06,27487267500000.0,18562830000000.0,14993055000000.0,4.2571916383067965,5.06620501885547,117029335935561.38,79032798294145.34,63834183237578.93,0.0003944721832238,0.0002663967990602,0.0002151666453948,0.000213497485388,0.0001441801200022,0.0001164531738479
38,38,2,25,3000,1000000.0,340,17.15,2.43,0.81,,12088.75,1.208875,340.0,0.0003910150295353,0.0221196900845008,0.0014454504731676,-0.0017718502990752,-2.094606862943464e-06,27866677575008.08,18858450000000.0,15231825000000.0,4.347780531405441,5.256019511018892,121160418605327.34,81993904371894.72,66225845838838.04,0.0004060378440314,0.0002747813893193,0.0002219388144502,0.0002196890526701,0.0001486720117307,0.000120081240244
39,39,2,25,3000,1000000.0,345,17.15,2.43,0.81,,12294.75,1.229475,345.0,0.0004235758851648,0.0226054915320516,0.0014686605269701,-0.0017419213411376,2.148917325144896e-06,28277925000000.004,19179810000000.0,15491385000000.002,4.088484393986464,5.0262954511507605,115604795376467.5,78410209037951.88,63331322684499.59,0.0004184331591902,0.0002838068384072,0.000229228600252,0.0002261302343434,0.0001533752893807,0.0001238800414228
40,40,2,25,3000,1000000.0,350,17.15,2.43,0.81,,12583.5,1.25835,350.0,0.0004447503412023,0.0220631458499875,0.0014502480435306,-0.0017431027200524,-2.3848099033599264e-06,28942050000000.0,19630260000000.0,15855210000000.0,3.945841637741716,4.965445982174801,114205257590020.4,77460957321926.89,62564619375402.49,0.0004347591318849,0.0002948801068437,0.0002381723939891,0.0002348105989923,0.0001592628410556,0.0001286353716218
41,41,2,25,3000,1000000.0,355,17.15,2.43,0.81,,12594.75,1.259475,355.0,0.0004097945829215,0.0224510913109301,0.0014319610013215,-0.0016683772503243,3.1607602942953206e-06,28950702571215.24,19647810000000.0,15869385000000.0,4.3315429840740975,5.455643199782351,125405191537403.94,85108033916604.69,68741104317257.63,0.0004411347426543,0.0002993824273089,0.0002418088835957,0.0002381480230591,0.0001616225753911,0.0001305413108928
42,42,2,25,3000,1000000.0,360,17.15,2.43,0.81,,12953.75,1.295375,360.0,0.0004394397751638,0.021683118799126,0.0014504644024108,-0.0016492126971623,-3.793370330276169e-06,29664087500000.0,20207850000000.0,16321725000000.0,4.114427079382052,5.331237344167097,122085335181426.52,83167302569006.72,67173590536505.43,0.0004587133683931,0.0003124859627481,0.0002523925083734,0.0002474584984358,0.0001685743482794,0.0001361562043795
