"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"	"Harmonic Energy (eV)"	"Harmonic: 13"	"Harmonic Energy (eV)"	"Harmonic: 15"	"Harmonic Energy (eV)"	"Harmonic: 17"	"Harmonic Energy (eV)"	"Harmonic: 19"
3.48878e+3	7.22915e+12	1.04663e+4	6.36381e+6	1.74439e+4	5.99889e+0	2.44215e+4	5.72414e-6	3.13990e+4	5.48399e-12	3.83766e+4	5.26366e-18	4.53541e+4	5.05726e-24	5.23317e+4	4.86518e-30	5.93093e+4	0.00000e+0	6.62868e+4	0.00000e+0
3.48866e+3	7.56557e+12	1.04660e+4	7.29442e+6	1.74433e+4	7.53125e+0	2.44206e+4	7.87098e-6	3.13980e+4	8.25919e-12	3.83753e+4	8.68264e-18	4.53526e+4	9.13696e-24	5.23300e+4	9.62770e-30	5.93073e+4	0.00000e+0	6.62846e+4	0.00000e+0
3.48854e+3	7.90961e+12	1.04656e+4	8.33571e+6	1.74427e+4	9.40718e+0	2.44198e+4	1.07464e-5	3.13969e+4	1.23257e-11	3.83740e+4	1.41634e-17	4.53511e+4	1.62915e-23	5.23282e+4	1.87645e-29	5.93052e+4	0.00000e+0	6.62823e+4	0.00000e+0
3.48842e+3	8.26127e+12	1.04653e+4	9.49795e+6	1.74421e+4	1.16935e+1	2.44189e+4	1.45729e-5	3.13958e+4	1.82346e-11	3.83726e+4	2.28586e-17	4.53495e+4	2.86841e-23	5.23263e+4	3.60438e-29	5.93032e+4	0.00000e+0	6.62800e+4	0.00000e+0
3.48830e+3	8.62056e+12	1.04649e+4	1.07921e+7	1.74415e+4	1.44681e+1	2.44181e+4	1.96338e-5	3.13947e+4	2.67514e-11	3.83712e+4	3.65168e-17	4.53478e+4	4.98971e-23	5.23244e+4	6.82766e-29	5.93010e+4	0.00000e+0	6.62776e+4	1.27769e-40
3.48817e+3	8.98746e+12	1.04645e+4	1.22299e+7	1.74408e+4	1.78216e+1	2.44172e+4	2.62880e-5	3.13935e+4	3.89329e-11	3.83698e+4	5.77673e-17	4.53462e+4	8.57992e-23	5.23225e+4	1.27618e-28	5.92988e+4	0.00000e+0	6.62752e+4	2.82166e-40
3.48804e+3	9.36197e+12	1.04641e+4	1.38238e+7	1.74402e+4	2.18587e+1	2.44163e+4	3.49875e-5	3.13923e+4	5.62276e-11	3.83684e+4	9.05298e-17	4.53445e+4	1.45905e-22	5.23205e+4	2.35501e-28	5.92966e+4	0.00000e+0	6.62727e+4	6.13110e-40
3.48790e+3	9.74409e+12	1.04637e+4	1.55870e+7	1.74395e+4	2.67008e+1	2.44153e+4	4.62996e-5	3.13911e+4	8.06079e-11	3.83669e+4	1.40600e-16	4.53427e+4	2.45487e-22	5.23186e+4	4.29271e-28	5.92944e+4	7.49570e-34	6.62702e+4	1.31162e-39
3.48777e+3	1.01338e+13	1.04633e+4	1.75336e+7	1.74388e+4	3.24873e+1	2.44144e+4	6.09321e-5	3.13899e+4	1.14743e-10	3.83654e+4	2.16479e-16	4.53410e+4	4.08827e-22	5.23165e+4	7.73285e-28	5.92920e+4	1.46045e-33	6.62676e+4	2.76426e-39
3.48763e+3	1.05312e+13	1.04629e+4	1.96785e+7	1.74381e+4	3.93783e+1	2.44134e+4	7.97651e-5	3.13887e+4	1.62225e-10	3.83639e+4	3.30543e-16	4.53392e+4	6.74180e-22	5.23144e+4	1.37726e-27	5.92897e+4	2.80911e-33	6.62649e+4	5.74249e-39
3.48749e+3	1.09361e+13	1.04625e+4	2.20376e+7	1.74374e+4	4.75575e+1	2.44124e+4	1.03888e-4	3.13874e+4	2.27855e-10	3.83624e+4	5.00680e-16	4.53373e+4	1.10128e-21	5.23123e+4	2.42381e-27	5.92873e+4	5.33668e-33	6.62623e+4	1.17655e-38
3.48734e+3	1.13487e+13	1.04620e+4	2.46277e+7	1.74367e+4	5.72343e+1	2.44114e+4	1.34642e-4	3.13861e+4	3.18022e-10	3.83608e+4	7.52557e-16	4.53355e+4	1.78262e-21	5.23102e+4	4.22513e-27	5.92848e+4	1.00183e-32	6.62595e+4	2.37865e-38
3.48720e+3	1.17688e+13	1.04616e+4	2.74663e+7	1.74360e+4	6.86476e+1	2.44104e+4	1.73678e-4	3.13848e+4	4.41177e-10	3.83592e+4	1.12276e-15	4.53336e+4	2.86023e-21	5.23080e+4	7.29082e-27	5.92823e+4	1.85918e-32	6.62567e+4	4.74756e-38
3.48705e+3	1.21965e+13	1.04611e+4	3.05723e+7	1.74352e+4	8.20689e+1	2.44093e+4	2.23010e-4	3.13834e+4	6.08443e-10	3.83575e+4	1.66311e-15	4.53316e+4	4.55053e-21	5.23057e+4	1.24585e-26	5.92798e+4	3.41223e-32	6.62539e+4	9.35904e-38
3.48690e+3	1.26319e+13	1.04607e+4	3.39653e+7	1.74345e+4	9.78060e+1	2.44083e+4	2.85096e-4	3.13821e+4	8.34386e-10	3.83559e+4	2.44653e-15	4.53296e+4	7.18077e-21	5.23034e+4	2.10889e-26	5.92772e+4	6.19597e-32	6.62510e+4	1.82306e-37
3.48674e+3	1.30748e+13	1.04602e+4	3.76661e+7	1.74337e+4	1.16207e+2	2.44072e+4	3.62920e-4	3.13807e+4	1.13799e-9	3.83542e+4	3.57500e-15	4.53276e+4	1.12422e-20	5.23011e+4	3.53743e-26	5.92746e+4	1.11351e-31	6.62481e+4	3.51042e-37
3.48658e+3	1.35253e+13	1.04598e+4	4.16967e+7	1.74329e+4	1.37666e+2	2.44061e+4	4.60095e-4	3.13793e+4	1.54390e-9	3.83524e+4	5.19038e-15	4.53256e+4	1.74669e-20	5.22988e+4	5.88162e-26	5.92719e+4	1.98129e-31	6.62451e+4	6.68458e-37
3.48642e+3	1.39834e+13	1.04593e+4	4.60801e+7	1.74321e+4	1.62625e+2	2.44050e+4	5.80976e-4	3.13778e+4	2.08392e-9	3.83507e+4	7.48879e-15	4.53235e+4	2.69389e-20	5.22964e+4	9.69642e-26	5.92692e+4	3.49151e-31	6.62421e+4	1.25924e-36
3.48626e+3	1.44491e+13	1.04588e+4	5.08405e+7	1.74313e+4	1.91583e+2	2.44038e+4	7.30805e-4	3.13764e+4	2.79897e-9	3.83489e+4	1.07400e-14	4.53214e+4	4.12520e-20	5.22939e+4	1.58544e-25	5.92664e+4	6.09576e-31	6.62390e+4	2.34756e-36
3.48610e+3	1.49223e+13	1.04583e+4	5.60034e+7	1.74305e+4	2.25099e+2	2.44027e+4	9.15862e-4	3.13749e+4	3.74145e-9	3.83471e+4	1.53129e-14	4.53193e+4	6.27354e-20	5.22914e+4	2.57177e-25	5.92636e+4	1.05468e-30	6.62358e+4	4.33255e-36
3.48593e+3	1.54031e+13	1.04578e+4	6.15955e+7	1.74296e+4	2.63799e+2	2.44015e+4	1.14366e-3	3.13734e+4	4.97819e-9	3.83452e+4	2.17098e-14	4.53171e+4	9.47715e-20	5.22889e+4	4.13965e-25	5.92608e+4	1.80892e-30	6.62326e+4	7.91823e-36
3.48576e+3	1.58915e+13	1.04573e+4	6.76448e+7	1.74288e+4	3.08383e+2	2.44003e+4	1.42314e-3	3.13718e+4	6.59411e-9	3.83433e+4	3.06108e-14	4.53149e+4	1.42243e-19	5.22864e+4	6.61378e-25	5.92579e+4	3.07638e-30	6.62294e+4	1.43352e-35
3.48558e+3	1.63875e+13	1.04568e+4	7.41806e+7	1.74279e+4	3.59633e+2	2.43991e+4	1.76494e-3	3.13703e+4	8.69669e-9	3.83414e+4	4.29325e-14	4.53126e+4	2.12157e-19	5.22838e+4	1.04904e-24	5.92549e+4	5.18916e-30	6.62261e+4	2.57155e-35
3.48541e+3	1.68910e+13	1.04562e+4	8.12338e+7	1.74270e+4	4.18420e+2	2.43979e+4	2.18168e-3	3.13687e+4	1.14215e-8	3.83395e+4	5.99049e-14	4.53103e+4	3.14515e-19	5.22811e+4	1.65228e-24	5.92520e+4	8.68354e-30	6.62228e+4	4.57218e-35
3.48523e+3	1.74021e+13	1.04557e+4	8.88364e+7	1.74262e+4	4.85711e+2	2.43966e+4	2.68825e-3	3.13671e+4	1.49388e-8	3.83375e+4	8.31703e-14	4.53080e+4	4.63512e-19	5.22785e+4	2.58474e-24	5.92489e+4	1.44193e-29	6.62194e+4	8.05945e-35
3.48505e+3	1.79207e+13	1.04551e+4	9.70220e+7	1.74252e+4	5.62584e+2	2.43953e+4	3.30224e-3	3.13654e+4	1.94618e-8	3.83355e+4	1.14913e-13	4.53056e+4	6.79190e-19	5.22757e+4	4.01678e-24	5.92458e+4	2.37649e-29	6.62159e+4	1.40880e-34
3.48487e+3	1.84469e+13	1.04546e+4	1.05826e+8	1.74243e+4	6.50229e+2	2.43941e+4	4.04432e-3	3.13638e+4	2.52569e-8	3.83335e+4	1.58024e-13	4.53033e+4	9.89704e-19	5.22730e+4	6.20228e-24	5.92427e+4	3.88838e-29	6.62124e+4	2.44266e-34
3.48468e+3	1.89806e+13	1.04540e+4	1.15285e+8	1.74234e+4	7.49967e+2	2.43928e+4	4.93877e-3	3.13621e+4	3.26551e-8	3.83315e+4	2.16318e-13	4.53008e+4	1.43440e-18	5.22702e+4	9.51734e-24	5.92395e+4	6.31729e-29	6.62089e+4	4.20190e-34
3.48449e+3	1.95219e+13	1.04535e+4	1.25437e+8	1.74225e+4	8.63258e+2	2.43914e+4	6.01400e-3	3.13604e+4	4.20670e-8	3.83294e+4	2.94802e-13	4.52984e+4	2.06803e-18	5.22674e+4	1.45160e-23	5.92363e+4	1.01932e-28	6.62053e+4	7.17288e-34
3.48430e+3	2.00708e+13	1.04529e+4	1.36322e+8	1.74215e+4	9.91712e+2	2.43901e+4	7.30320e-3	3.13587e+4	5.40004e-8	3.83273e+4	4.00028e-13	4.52959e+4	2.96635e-18	5.22645e+4	2.20100e-23	5.92331e+4	1.63376e-28	6.62017e+4	1.21535e-33
3.48410e+3	2.06271e+13	1.04523e+4	1.47982e+8	1.74205e+4	1.13710e+3	2.43887e+4	8.84506e-3	3.13569e+4	6.90809e-8	3.83251e+4	5.40537e-13	4.52934e+4	4.23381e-18	5.22616e+4	3.31819e-23	5.92298e+4	2.60162e-28	6.61980e+4	2.04434e-33
3.48391e+3	2.11910e+13	1.04517e+4	1.60460e+8	1.74195e+4	1.30139e+3	2.43873e+4	1.06846e-2	3.13552e+4	8.80777e-8	3.83230e+4	7.27417e-13	4.52908e+4	6.01368e-18	5.22586e+4	4.97464e-23	5.92264e+4	4.11675e-28	6.61942e+4	3.41459e-33
3.48371e+3	2.17625e+13	1.04511e+4	1.73802e+8	1.74185e+4	1.48672e+3	2.43860e+4	1.28740e-2	3.13534e+4	1.11933e-7	3.83208e+4	9.75019e-13	4.52882e+4	8.50171e-18	5.22556e+4	7.41761e-23	5.92230e+4	6.47431e-28	6.61904e+4	5.66418e-33
3.48351e+3	2.23414e+13	1.04505e+4	1.88053e+8	1.74175e+4	1.69545e+3	2.43845e+4	1.54739e-2	3.13515e+4	1.41799e-7	3.83186e+4	1.30184e-12	4.52856e+4	1.19642e-17	5.22526e+4	1.10020e-22	5.92196e+4	1.01212e-27	6.61866e+4	9.33315e-33
3.48330e+3	2.29279e+13	1.04499e+4	2.03264e+8	1.74165e+4	1.93017e+3	2.43831e+4	1.85542e-2	3.13497e+4	1.79080e-7	3.83163e+4	1.73167e-12	4.52829e+4	1.67618e-17	5.22495e+4	1.62346e-22	5.92161e+4	1.57302e-27	6.61827e+4	1.52787e-32
3.48309e+3	2.35219e+13	1.04493e+4	2.19485e+8	1.74155e+4	2.19370e+3	2.43816e+4	2.21956e-2	3.13478e+4	2.25483e-7	3.83140e+4	2.29494e-12	4.52802e+4	2.33814e-17	5.22464e+4	2.38359e-22	5.92126e+4	2.43089e-27	6.61788e+4	2.48535e-32
3.48288e+3	2.41234e+13	1.04486e+4	2.36768e+8	1.74144e+4	2.48916e+3	2.43802e+4	2.64911e-2	3.13459e+4	2.83078e-7	3.83117e+4	3.03055e-12	4.52775e+4	3.24772e-17	5.22432e+4	3.48257e-22	5.92090e+4	3.73587e-27	6.61748e+4	4.01788e-32
3.48267e+3	2.47324e+13	1.04480e+4	2.55169e+8	1.74133e+4	2.81993e+3	2.43787e+4	3.15476e-2	3.13440e+4	3.54368e-7	3.83094e+4	3.98798e-12	4.52747e+4	4.49254e-17	5.22400e+4	5.06402e-22	5.92054e+4	5.71046e-27	6.61707e+4	6.45630e-32
3.48245e+3	2.53490e+13	1.04474e+4	2.74744e+8	1.74123e+4	3.18970e+3	2.43772e+4	3.74879e-2	3.13421e+4	4.42376e-7	3.83070e+4	5.23002e-12	4.52719e+4	6.18950e-17	5.22368e+4	7.32946e-22	5.92017e+4	8.68282e-27	6.61666e+4	1.03136e-31
