,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
34,34,2.25,0.02,270,1,100000.0,,100000.0,100.0,270.0,0.2697020691296757,0.0702398130692057,0.0656183175314805,2359036487745907.5,1560000000000000.0,1260000000000000.0,1.001105616529336,100.11056165293358,2361644677480065.0,1561724761785763.8,1261393076826963.2,0.0269930280968924,0.0178501367189059,0.0144174181191162,0.0148700950419867,0.0098333995196762,0.0079423611505077
35,35,2.25,0.02,275,1,100000.0,,100000.0,100.0,275.0,0.2746242512258732,0.0729827325921509,0.0652622027003658,2350189214855845.0,1560000000000000.0,1260000000000000.0,1.0013686123083003,100.13686123083004,2353405712742132.0,1562135035200949.0,1261724451508458.8,0.0274270679902513,0.0182054388618307,0.0147043929268633,0.0150525304779968,0.0099915136182409,0.0080700686916561
36,36,2.25,0.02,280,1,100000.0,,100000.0,100.0,280.0,0.2786662555321527,0.0741796713774225,0.0617590827756903,2350000000000000.0,1560000000000000.0,1260000000000000.0,1.0048034331453135,100.4803433145314,2361288067891487.0,1567493355706689.5,1266052325763095.5,0.0279466867849656,0.0185518431423602,0.0149841809995986,0.0152972881488328,0.0101547955370975,0.0082019502415018
37,37,2.25,0.02,285,1,100000.0,,100000.0,100.0,285.0,0.2845930606838351,0.073128053235637,0.0645957836876001,2350000000000000.0,1560000000000000.0,1260000000000000.0,1.0014302710718648,100.14302710718648,2353361137018882.5,1562231222872109.5,1261802141550549.5,0.028463976775075,0.0188952356464328,0.0152615364836572,0.0155616256932373,0.0103302706729575,0.0083436801589272
38,38,2.25,0.02,290,1,100000.0,,100000.0,100.0,290.0,0.289654799910636,0.0727366027058477,0.0598701601479035,2343647320201809.0,1560000000000000.0,1260000000000000.0,1.0011926226905778,100.11926226905776,2346442407174593.0,1561860491397301.2,1261502704590128.0,0.0289209839099161,0.0192506502623373,0.0155486021349647,0.0157924524450436,0.0105119168749957,0.008490394399035
39,39,2.25,0.02,295,1,100000.0,,100000.0,100.0,295.0,0.2941298761188932,0.0695751864122384,0.0605987838242785,2340000000000000.0,1560000000000000.0,1260000000000000.0,1.002963250733652,100.29632507336522,2346934006716745.0,1564622671144497.5,1263733695924401.5,0.0293948507399319,0.0195965671599546,0.015827996552271,0.0160305814168567,0.0106870542779045,0.0086318515321536
40,40,2.25,0.02,300,1,100000.0,,100000.0,100.0,300.0,0.2997558714653337,0.0705212688387957,0.0612746385508956,2335952718498758.0,1560000000000000.0,1260000000000000.0,1.0008147956963565,100.08147956963562,2337856042720682.5,1561271081286315.8,1261026642577408.8,0.0298570842565311,0.0199392098441624,0.0161047464125927,0.0162739932596629,0.0108681264325374,0.0087781021185879
41,41,2.25,0.02,305,1,100000.0,,100000.0,100.0,305.0,0.3047447573396539,0.0708455246115059,0.0605802908287108,2330000000000000.0,1560000000000000.0,1260000000000000.0,1.0008378188090097,100.08378188090096,2331952117824993.0,1561306997342055.2,1261055651699352.5,0.0303115069665837,0.0202943995141075,0.0163916303767791,0.0164942323279874,0.011043348683116,0.0089196277825168
42,42,2.25,0.02,310,1,100000.0,,100000.0,100.0,310.0,0.3096820177692734,0.0669255672435243,0.0573314959710247,2330000000000000.0,1560000000000000.0,1260000000000000.0,1.0010268377872973,100.10268377872974,2332392532044402.5,1561601866948183.8,1261293815611994.8,0.0308361910136929,0.0206456901207558,0.0166753650975335,0.0167645196569389,0.0112243135900535,0.0090657917458124
43,43,2.25,0.02,315,1,100000.0,,100000.0,100.0,315.0,0.3147244288553793,0.070643406624232,0.0603652230188645,2329410865406614.5,1560000000000000.0,1260000000000000.0,1.000875845255837,100.08758452558372,2331451068861976.5,1561366318599106.0,1261103565022354.8,0.0313573681213985,0.0209999425158699,0.0169614920320487,0.0170233773671154,0.0114005086380776,0.009208103130755
44,44,2.25,0.02,320,1,100000.0,,100000.0,100.0,320.0,0.3193752080366607,0.0702976181488382,0.0575988047731838,2320563592516552.0,1560000000000000.0,1260000000000000.0,1.001958033313484,100.1958033313484,2325107333336757.0,1563054531969034.5,1262467121974989.5,0.0317531520559237,0.0213460718624489,0.0172410580427472,0.0172291784904115,0.0115823235923022,0.0093549536707056
