,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
30,30,1000000.0,1650,1.6,17.15,2.43,0.81,0.02,,0.033,66870.0,6.687,1650.0,0.0328171057276449,0.0183407671635269,0.0010249339406288,-0.0003778721532582,2.0849235846302545e-06,1568101500000.0,56315578975937.33,57050597073343.18,54847750008724.35,52564453579803.72,1.00557313840754,6.724267576531221,1576840746696.5715,56629433492070.99,57368547947065.73,55153424110865.13,52857402554920.68,0.0001116031681046,0.0040080294721742,0.0040603413590544,0.0039035627887505,0.003741058566167,7.252141278107166e-05,0.0026044776750223,0.0026384707238418,0.0025365936570405,0.002430995975498
31,31,1000000.0,1700,1.6,17.15,2.43,0.81,0.02,,0.034,64592.0,6.4592,1700.0,0.0339423991831608,0.0182792181617781,0.0010372811526891,-0.0003901292170651,1.2826912807022027e-06,1514682400000.0,52354500132907.57,53852983513939.87,52057863763074.74,50031446822727.27,1.0016970166583772,6.470161369999791,1517252841264.9507,52443346591774.125,53944372924066.34,52146206825080.21,50116351021428.16,0.0001104244037554,0.0038167832814936,0.0039260267333803,0.0037951576956474,0.0036474264733146,7.160772485521805e-05,0.0024750975124882,0.0025459394168036,0.0024610738098605,0.0023652734581126
32,32,1000000.0,1750,1.6,17.15,2.43,0.81,0.02,,0.035,61287.0,6.1287,1750.0,0.0346568382387886,0.0185752258568231,0.0010259341923016,-0.0003808209793095,3.5572259234312187e-06,1437180150000.0,47737135610166.57,49888960522725.5,48505224662698.84,46760165719794.56,1.0099017042133782,6.189384574612531,1451410682746.6384,48209814606972.36,50382946253334.43,48985509050112.34,47223171049720.52,0.0001070660799808,0.0035562890144962,0.0037165942192354,0.0036135095960154,0.00348350736884,6.935160038797284e-05,0.0023035711650364,0.0024074081832701,0.0023406355546563,0.0022564271619494
33,33,1000000.0,1800,1.6,17.15,2.43,0.81,0.02,,0.036,58057.0,5.8057,1800.0,0.0359057181972275,0.0166836421516167,0.0009695779760027,-0.0003725457236979,-1.32441891892152e-06,1361436650000.0,43386260438905.336,46114128262143.625,45104013111729.91,43618594048570.78,1.0026258158172627,5.820944698890282,1365011531889.7712,43500184767817.7,46235215469533.65,45222447942780.72,43733128442750.28,0.0001033671173423,0.0032941030886996,0.0035012165327068,0.0034245235104629,0.0033117430247869,6.706386264445385e-05,0.0021371910406049,0.0022715647942496,0.0022218068979108,0.0021486357077411
34,34,1000000.0,1850,1.6,17.15,2.43,0.81,0.02,,0.037,53884.0,5.3884,1850.0,0.036980578810926,0.016471800466718,0.0010176864460793,-0.0003452426116177,-4.258874032641677e-06,1263579800000.0,38571083016724.016,41730040856297.37,41065105223255.82,39847207041780.586,1.0005251726635542,5.391229840380295,1264243397569.1794,38591339495128.086,41751956333004.1,41086671493945.055,39868133705637.92,9.91752884978382e-05,0.0030273499828484,0.0032752888586457,0.0032230996868662,0.0031275098368948,6.344418670040771e-05,0.0019366493450987,0.0020952602305786,0.0020618738940398,0.0020007233757998
35,35,1000000.0,1900,1.6,17.15,2.43,0.81,0.02,,0.038,49192.0,4.9192,1900.0,0.0379769487374233,0.0164103736923148,0.001066357353519,-0.0003391070223318,-2.1242908319634093e-07,1153552400000.0,33663533766503.965,37119974307614.58,36761146655881.8,35794005013715.97,1.0006069803747553,4.922185857859497,1154252583668.052,33683966870845.15,37142505403530.73,36783459950455.42,35815731272293.19,9.314102996217682e-05,0.0027180873683576,0.0029971699934747,0.0029681972506142,0.0028901075438348,5.895246710106043e-05,0.0017203799037436,0.0018970218120666,0.0018786838715156,0.0018292579539397
36,36,1000000.0,1950,1.6,17.15,2.43,0.81,0.02,,0.039,42980.0,4.298,1950.0,0.0389200151776094,0.0169493117670704,0.0009843276139545,-0.0003158608564999,-6.898377949062426e-07,1007881000000.0,28081904000000.0,31578223114352.39,31477765105322.977,30756955982274.74,1.0020551076875366,4.306832852841032,1009952303991.222,28139615336791.062,31643119763433.44,31542455302377.395,30820164838959.133,8.363403092791727e-05,0.0023302382202371,0.0026203630077304,0.0026120269956079,0.0025522142076992,5.2355822675656855e-05,0.0014587547401119,0.0016403760461675,0.0016351576109483,0.0015977141482486
37,37,1000000.0,2000,1.6,17.15,2.43,0.81,0.02,,0.04,35652.0,3.5652000000000004,2000.0,0.0397577939859274,0.0170290976566954,0.0010707615057564,-0.0003942554202483,3.513939099982177e-06,836039400000.0001,22199768260714.285,25485500581130.19,25579029864254.6,25082576574886.84,1.0060920385612502,3.5869193358785694,841132584263.5245,22335010105009.37,25640759233423.2,25734858300547.004,25235380598596.555,7.125524063370472e-05,0.0018920756957503,0.0021721170994798,0.0021800885558194,0.0021377760779658,4.408723165271868e-05,0.0011706700975417,0.0013439380583089,0.0013488701789379,0.0013226904903095
38,38,1000000.0,2050,1.6,17.15,2.43,0.81,0.02,,0.0409999999999999,26165.0,2.6165000000000003,2050.0,0.0409108391304471,0.0173621042724458,0.0010506522654301,-0.0002053802072523,-2.582795055263348e-06,613569250000.0001,15489352937500.0,18184017855032.32,18379382875065.89,18090114607606.773,1.002179394787493,2.622202386461476,614906459625.2162,15523110352553.629,18223648008761.258,18419438806301.152,18129540109087.742,5.367411982673826e-05,0.0013549854162444,0.0015907106708534,0.0016078009104559,0.0015824961552882,3.280066556185182e-05,0.0008280419618036,0.0009720954696371,0.0009825394459032,0.0009670755162839
39,39,1000000.0,2100,1.6,17.15,2.43,0.81,0.02,,0.042,1429.0,0.1429,2100.0,0.04126483684513,0.0176543459978576,0.0009216316898106,-0.0002294636131114,-1.4944327083723133e-05,33510050000.0,803648675463.4451,964750227331.4866,982320061360.042,970562989565.3768,1.0178157291068195,0.1454458676893645,34107055973.155987,817966262562.5563,981937956037.3672,999820809469.4272,987854276868.5789,3.0066274647291563e-06,7.210589598170108e-05,8.65604357528128e-05,8.813685672326758e-05,8.708197512915975e-05,1.8134419629086464e-06,4.349054183808629e-05,5.220877157654416e-05,5.315958705753338e-05,5.252333711599717e-05
