,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
59,59,2009,500000.0,0.01715,0.00243,0.81,1500140000000.0,2.009,78.0,0.0156,2009.0,0.280412668492373,0.0617366021764193,0.0193611049274088,-0.0107295493687407,-0.0021693190498518,234021840.0,7.1644409320067615,0.1117652785393054,1676635649.4795372,2.0040701003888786e-08,1.2372308282804572e-08
60,60,2010,500000.0,0.01715,0.00243,0.81,1500270000000.0,2.01,98.0,0.0196,2010.0,0.172016891882835,0.0678827617752335,0.0172645585663345,-0.0074926217347071,-0.0010128496473435,294052920.0,11.68489895381356,0.2290240194947457,3435978657.273823,2.5194876238098293e-08,1.5550456910775482e-08
61,61,2011,500000.0,0.01715,0.00243,0.81,1500390000000.0,2.011,88.0,0.0176,2011.0,0.1468477964647049,0.0696446504182239,0.0172643298453538,-0.0077557610124498,0.0005953855868839,264068640.00000003,13.69445131907952,0.2410223432157996,3616275135.375536,2.2637748615221807e-08,1.3968685481051168e-08
62,62,2012,500000.0,0.01715,0.00243,0.81,1500520000000.0,2.012,97.0,0.0194,2012.0,0.1867228843177518,0.0693140103305327,0.0169804070230894,-0.0093943983269433,-3.903801090189877e-05,291100880.0,10.775326266790742,0.2090413295757404,3136706958.5499,2.4968342620437693e-08,1.540292903456574e-08
63,63,2013,500000.0,0.01715,0.00243,0.81,1500640000000.0,2.013,98.0,0.0196,2013.0,0.2454051852980005,0.0671237459723998,0.0195991489748644,-0.0104999110818031,-0.0001592829774858,294125440.0,8.20276066113099,0.1607741089581673,2412640588.669843,2.5241124623250632e-08,1.5567307565078263e-08
64,64,2014,500000.0,0.01715,0.00243,0.81,1500770000000.0,2.014,98.0,0.0196,2014.0,0.1627064335525047,0.0600710457740005,0.0196277610328355,-0.0111075439915846,-0.000140697439544,294150920.0,12.378121479444085,0.242611180997104,3641035821.050239,2.5256685616951463e-08,1.5572999896233272e-08
65,65,2015,500000.0,0.01715,0.00243,0.81,1500900000000.0,2.015,91.0,0.0182,2015.0,0.2196863016730264,0.0558959813633595,0.018739817792126,-0.0057543269903696,0.0009142720849363,273163800.0,9.172169519240471,0.1669334852501766,2505504680.1199,2.3467101457785607e-08,1.4465931447182026e-08
66,66,2016,500000.0,0.01715,0.00243,0.81,1501020000000.0,2.016,97.0,0.0194,2016.0,0.1611672456405032,0.0622730923678549,0.0182904662177603,-0.0075996448279771,-0.0009085192086183,291197880.0,12.50874513607345,0.2426696556398249,3642520065.0849,2.502965101444436e-08,1.5425266898259243e-08
67,67,2017,500000.0,0.01715,0.00243,0.81,1501150000000.0,2.0170000000000003,102.0,0.0204,2017.0,0.0632472241181858,0.0421779405468945,0.0336003150570703,-0.0046121430572608,-0.0001703804857416,306234600.0,31.890727666260386,0.6505708443917119,9766044230.586184,2.6336086849666488e-08,1.622631831888478e-08
68,68,2018,500000.0,0.01715,0.00243,0.81,1501270000000.0,2.018,92.0,0.0184,2018.0,0.2383945082820327,0.0592798119300297,0.0198091740743999,-0.0091925340570668,-0.0003654088834912,276233680.0,8.464960097204102,0.1557552657885555,2338307078.703847,2.3768629521716755e-08,1.4640761014742858e-08
69,69,2019,500000.0,0.01715,0.00243,0.81,1501400000000.0,2.019,75.0,0.015,2019.0,0.2071819041218092,0.0675477555586205,0.0190241385930511,-0.0054259745288682,-0.0010156865369214,225210000.0,9.745059582100192,0.1461758937315029,2194684868.484784,1.9388572270594345e-08,1.1939771510913113e-08
70,70,2020,500000.0,0.01715,0.00243,0.81,1501530000000.0,2.02,107.0,0.0214,2020.0,0.1131595184276648,0.0463858953622756,0.0203722354528949,-0.0047214167988629,-0.0008274026442043,321327420.0,17.85090664990103,0.382009402307882,5735985778.473542,2.767812814953452e-08,1.7040309913082216e-08
71,71,2021,500000.0,0.01715,0.00243,0.81,1501650000000.0,2.0210000000000004,96.0,0.0192,2021.0,0.2603047357611101,0.0591755822477164,0.018417871923741,-0.0067480099250503,0.0001702016993928,288316800.0,7.763977071299755,0.1490683597689553,2238485024.470517,2.4847123442621904e-08,1.5293909209441676e-08
72,72,2022,500000.0,0.01715,0.00243,0.81,1501780000000.0,2.022,91.0,0.0182,2022.0,0.208783116061725,0.0592298787407302,0.0207382359424138,-0.0085882197828651,1.1557257759085595e-06,273323960.0,9.684691167279125,0.17626137924448,2647058141.2177525,2.3566832829999146e-08,1.4502576064198384e-08
73,73,2023,500000.0,0.01715,0.00243,0.81,1501900000000.0,2.023,78.0,0.0156,2023.0,0.1867867908493193,0.0659708551589556,0.0175413454409161,-0.0073239349644651,-0.0009688459343134,234296400.0,10.830530311064406,0.1689562728526047,2537554261.9732704,2.0211874353455512e-08,1.2435177391088357e-08
74,74,2024,500000.0,0.01715,0.00243,0.81,1502030000000.0,2.024,75.0,0.015,2024.0,0.1780359958561234,0.0663522460560536,0.0198358094427475,-0.0090693052176058,0.0008380176100714,225304500.0,11.368487536844285,0.1705273130526642,2561371400.2449327,1.9445916039909788e-08,1.1961212045278626e-08
75,75,2025,500000.0,0.01715,0.00243,0.81,1502150000000.0,2.025,93.0,0.0186,2025.0,0.2088188624029392,0.0646109616851198,0.01838168105457,-0.0057304028062179,0.0012260831071023,279399900.0,9.69739982632669,0.1803716367696764,2709452541.735694,2.4126952095880986e-08,1.4837152370281078e-08
76,76,2026,500000.0,0.01715,0.00243,0.81,1502280000000.0,2.026,75.0,0.015,2026.0,0.1682754896262871,0.0675173080731162,0.0199777297779681,-0.0090525056800455,-0.0011360411751307,225342000.0,12.039780745843744,0.1805967111876561,2713068272.829921,1.9468663757924763e-08,1.1969760872498268e-08
77,77,2027,500000.0,0.01715,0.00243,0.81,1502400000000.0,2.027,107.0,0.0214,2027.0,0.1160848654080837,0.0348787746438614,0.0166863854274024,-0.0050304011650471,0.0003843994365988,321513600.0,17.46136322658688,0.3736731730489592,5614065751.887563,2.7791452273152805e-08,1.7082905171836662e-08
78,78,2028,500000.0,0.01715,0.00243,0.81,1502530000000.0,2.028,96.0,0.0192,2028.0,0.1545569735874288,0.0659861785787708,0.0194888850714486,-0.007577577749072,-0.0002531172407574,288485760.0,13.12137493979082,0.2519303988439837,3785329821.750509,2.4949065167543373e-08,1.5332248419132616e-08
79,79,2029,500000.0,0.01715,0.00243,0.81,1502650000000.0,2.029,100.0,0.02,2029.0,0.1435713547091381,0.0562599183873362,0.0167317399303445,-0.0059077465199285,0.0004721800332027,300530000.0,14.132345579036707,0.2826469115807341,4247193816.867902,2.600374152653913e-08,1.5976749106614086e-08
80,80,2030,500000.0,0.01715,0.00243,0.81,1502780000000.0,2.03,90.0,0.018,2030.0,0.1733107280204446,0.0592735230826395,0.0181039028793865,-0.0035172722493158,-0.0021823353458262,270500400.00000006,11.713066024167476,0.2108351884350146,3168389044.7637124,2.341715566840436e-08,1.4384264010677844e-08
81,81,2031,500000.0,0.01715,0.00243,0.81,1502900000000.0,2.031,84.0,0.0168,2031.0,0.180445636459245,0.0576125992833805,0.0183345257472381,-0.0095002376184798,-0.000159585737464,252487200.0,11.25546751837757,0.1890918543087431,2841861478.4061007,2.1869212995703932e-08,1.3429991622451828e-08
82,82,2032,500000.0,0.01715,0.00243,0.81,1503020000000.0,2.032,89.0,0.0178,2032.0,0.1647680425744317,0.0804346648992569,0.0152964832749116,-0.0067738638060294,0.0005476985219683,267537560.0,12.33248855937626,0.2195182963568974,3299403897.9034395,2.318495334797341e-08,1.4234355580148125e-08
83,83,2033,500000.0,0.01715,0.00243,0.81,1503150000000.0,2.033,107.0,0.0214,2033.0,0.0676769625681572,0.0492479034169533,0.0192737632430407,-0.0083671762409533,-0.0008088980790747,321674100.0,30.03976423960476,0.6428509547275417,9663014125.987043,2.7891081494734442e-08,1.7119293885360153e-08
84,84,2034,500000.0,0.01715,0.00243,0.81,1503270000000.0,2.0340000000000003,78.0,0.0156,2034.0,0.1481684558935462,0.0662530399780876,0.0185192248713346,-0.0078567772573252,-0.0005491679955582,234510120.0,13.727618255408942,0.2141508447843794,3219265404.390141,2.0344113223208805e-08,1.2483836657776642e-08
85,85,2035,500000.0,0.01715,0.00243,0.81,1503400000000.0,2.035,84.0,0.0168,2035.0,0.3409944242408457,0.0659108986882654,0.0184566578078229,-0.0067748253601597,0.0013861533161359,252571200.0,5.967839516820578,0.1002597038825857,1507304388.1707935,2.1922447453760645e-08,1.3448909880431626e-08
